Выборы Президента Российской Федерации																																																																																												
Дата голосования: 18.03.2018																																																																																												
																																																																																												
"Наименование Избирательной комиссии:    Барнаул, Индустриальная"																																																																																												
																																																																																												
Сводная таблица предварительных итогов голосования																																																																																												
																																																																																												
	Число участковых избирательных комиссий	81																																																																																										
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	81																																																																																										
																																																																																												
		Сумма	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №185	УИК №186	УИК №187	УИК №222	УИК №1903									
1	"Число избирателей, включенных в список избирателей"	168777	1358	2506	2505	2460	2506	2156	2189	2550	1687	2096	776	629	2145	1866	2608	1940	2581	2728	2762	2409	2331	1035	2605	2158	2562	2269	2435	2242	2225	1668	1810	2185	1927	2338	2356	2447	2042	2019	1918	2885	2773	2102	2525	2491	2070	2042	2191	1794	2253	2061	2464	2499	1743	1219	2383	2355	1897	1796	1965	1666	1896	2275	2329	1991	2147	1975	2341	2089	1768	2241	2099	2872	2480	2150	2218	2279	908	2105	1565	588	258									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	131180	1050	1850	1950	1900	2000	1650	1650	1950	1500	1550	550	500	1650	1400	2050	1450	2000	2100	2100	1800	1800	980	1950	1650	1900	1750	1900	1750	1750	1350	1400	1700	1450	1850	1800	1850	1750	1550	1500	2150	2150	1650	2000	1900	1600	1650	1750	1400	1800	1550	1950	1950	1400	950	2050	1750	1450	1450	1550	1300	1450	1800	2000	1550	1650	1500	1750	1650	1400	1850	1750	2200	1750	1600	1700	1700	950	1250	1150	550	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	107537	839	1482	1540	1506	1460	1363	1411	1610	1061	1285	450	395	1194	1062	1561	1044	1524	1557	1635	1444	1398	733	1661	1474	1687	1475	1658	1517	1455	1186	1121	1416	1216	1544	1540	1590	1461	1362	1237	1804	1824	1545	1717	1500	1336	1237	1368	1095	1369	1310	1537	1622	1144	797	1542	1527	1232	1252	1231	1041	1265	1607	1579	1338	1344	1299	1586	1364	1121	1457	1370	2061	1563	1363	1308	1174	610	1178	1069	443	254									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2984	31	17	57	66	61	35	59	42	24	24	7	16	32	41	56	53	59	46	43	57	51	29	52	25	45	27	67	40	35	11	55	24	25	38	35	59	67	18	66	17	18	4	7	44	46	63	74	47	64	43	63	65	38	62	66	34	87	61	43	27	24	16	28	21	22	28	21	15	21	44	63	13	21	12	29	13	3	9	8	5	0									
6	Число погашенных избирательных бюллетеней	20659	180	351	353	328	479	252	180	298	415	241	93	89	424	297	433	353	417	497	422	299	351	218	237	151	168	248	175	193	260	153	224	260	209	268	225	201	222	170	197	329	308	101	276	356	218	350	308	258	367	197	350	263	218	91	442	189	131	137	276	232	161	177	393	191	284	173	143	271	258	349	317	126	166	225	363	513	337	63	73	102	46									
