Выборы Президента Российской Федерации																																																																		
Дата голосования: 18.03.2018																																																																		
																																																																		
Наименование Избирательной комиссии:    Цивильская																																																																		
																																																																		
Сводная таблица итогов голосования																																																																		
																																																																		
	Число участковых избирательных комиссий	55																																																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	55																																																																
																																																																		
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655									
1	"Число избирателей, включенных в список избирателей"	24060	486	192	98	246	571	348	356	135	201	209	524	184	175	224	625	248	194	382	576	306	454	907	339	192	168	258	117	130	372	328	145	558	249	339	213	156	163	220	617	397	360	516	161	241	343	1019	1024	965	591	1259	1362	1206	1086	1072	253									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23364	470	200	99	240	580	350	360	145	200	205	500	170	175	220	640	230	200	360	560	310	470	870	330	190	165	260	120	140	340	330	170	580	270	340	215	160	165	220	630	390	380	530	170	240	350	1000	1000	900	570	1100	1200	1100	1000	1000	255									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17995	384	122	74	154	412	237	278	117	137	163	468	157	142	196	540	201	165	280	393	239	321	732	290	162	127	205	76	93	282	237	109	453	156	314	176	133	138	178	479	282	264	382	125	162	277	760	745	688	424	909	990	835	703	676	253									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1891	57	49	18	56	37	64	35	10	24	32	4	13	16	22	57	27	14	33	115	20	71	61	9	20	34	28	21	19	36	28	22	25	42	7	29	11	21	20	55	77	70	98	16	55	17	51	20	13	19	23	23	44	30	73	0									
6	Число погашенных избирательных бюллетеней	3478	29	29	7	30	131	49	47	18	39	10	28	0	17	2	43	2	21	47	52	51	78	77	31	8	4	27	23	28	22	65	39	102	72	19	10	16	6	22	96	31	46	50	29	23	56	189	235	199	127	168	187	221	267	251	2									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1891	57	49	18	56	37	64	35	10	24	32	4	13	16	22	57	27	14	33	115	20	71	61	9	20	34	28	21	19	36	28	22	25	42	7	29	11	21	20	55	77	70	98	16	55	17	51	20	13	19	23	23	44	30	73	0									
8	Число бюллетеней в стационарных ящиках для голосования	17993	384	122	74	154	412	237	278	117	137	163	468	157	142	196	540	201	165	280	393	239	321	732	290	162	127	205	76	93	282	237	109	453	156	314	176	133	138	178	479	282	264	382	125	162	277	760	745	688	424	908	990	834	703	676	253									
9	Число недействительных избирательных бюллетеней	284	5	1	0	2	4	6	5	3	2	6	11	3	3	1	8	4	1	3	7	6	5	9	4	4	2	6	1	0	4	2	0	5	0	3	2	2	8	3	3	6	4	5	2	0	3	8	7	18	14	18	9	17	9	15	5									
10	Число действительных избирательных бюллетеней	19600	436	170	92	208	445	295	308	124	159	189	461	167	155	217	589	224	178	310	501	253	387	784	295	178	159	227	96	112	314	263	131	473	198	318	203	142	151	195	531	353	330	475	139	217	291	803	758	683	429	913	1004	861	724	734	248									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																		
13	Бабурин Сергей Николаевич	98	1	3	3	1	0	3	2	0	1	0	1	1	0	1	1	0	3	3	4	2	3	9	1	0	1	2	0	0	1	0	0	6	0	0	2	1	0	2	3	1	1	0	0	0	2	4	4	6	6	1	7	3	1	0	1									
		0.49%	0.23%	1.75%	3.26%	0.48%	0.00%	0.99%	0.64%	0.00%	0.62%	0.00%	0.21%	0.59%	0.00%	0.46%	0.17%	0.00%	1.68%	0.96%	0.79%	0.77%	0.77%	1.13%	0.33%	0.00%	0.62%	0.86%	0.00%	0.00%	0.31%	0.00%	0.00%	1.26%	0.00%	0.00%	0.98%	0.69%	0.00%	1.01%	0.56%	0.28%	0.30%	0.00%	0.00%	0.00%	0.68%	0.49%	0.52%	0.86%	1.35%	0.11%	0.69%	0.34%	0.14%	0.00%	0.40%									
14	Грудинин Павел Николаевич	2719	58	13	9	17	57	19	48	21	25	34	72	25	20	36	80	21	18	30	27	26	42	108	59	19	12	21	34	23	22	94	15	118	26	27	24	21	16	17	58	38	31	103	15	25	48	175	103	96	78	128	133	121	106	97	10									
		13.67%	13.15%	7.60%	9.78%	8.10%	12.69%	6.31%	15.34%	16.54%	15.53%	17.44%	15.25%	14.71%	12.66%	16.51%	13.40%	9.21%	10.06%	9.58%	5.31%	10.04%	10.71%	13.62%	19.73%	10.44%	7.45%	9.01%	35.05%	20.54%	6.92%	35.47%	11.45%	24.69%	13.13%	8.41%	11.71%	14.58%	10.06%	8.59%	10.86%	10.58%	9.28%	21.46%	10.64%	11.52%	16.33%	21.58%	13.46%	13.69%	17.61%	13.75%	13.13%	13.78%	14.46%	12.95%	3.95%									
15	Жириновский Владимир Вольфович	1145	23	10	3	10	22	18	20	5	6	14	17	12	5	5	28	12	7	17	31	19	17	51	15	9	6	31	2	10	24	19	3	21	6	14	13	13	6	12	40	17	24	20	12	13	22	51	43	29	20	55	49	44	48	49	53									
		5.76%	5.22%	5.85%	3.26%	4.76%	4.90%	5.98%	6.39%	3.94%	3.73%	7.18%	3.60%	7.06%	3.16%	2.29%	4.69%	5.26%	3.91%	5.43%	6.10%	7.34%	4.34%	6.43%	5.02%	4.95%	3.73%	13.30%	2.06%	8.93%	7.55%	7.17%	2.29%	4.39%	3.03%	4.36%	6.34%	9.03%	3.77%	6.06%	7.49%	4.74%	7.19%	4.17%	8.51%	5.99%	7.48%	6.29%	5.62%	4.14%	4.51%	5.91%	4.84%	5.01%	6.55%	6.54%	20.95%									
