Выборы Президента Российской Федерации																																																																																				
Дата голосования: 18.03.2018																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Кстовская																																																																																				
																																																																																				
Сводная таблица итогов голосования																																																																																				
																																																																																				
	Число участковых избирательных комиссий	73																																																																																		
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	73																																																																																		
																																																																																				
		Сумма	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238									
1	"Число избирателей, включенных в список избирателей"	96319	1605	1081	1720	2141	2719	2807	1544	1318	2758	1323	1609	1227	1495	1199	1368	2457	1197	1480	2189	1145	1290	1338	1204	2640	2524	1456	2449	1069	954	2548	1486	2107	584	485	2196	553	2282	496	485	1953	604	1429	2542	1274	2275	1423	1770	704	745	399	527	319	177	2251	421	288	1866	1781	1521	325	112	411	959	1660	205	636	255	1151	267	175	750	102	2514									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	86061	1500	1000	1700	2000	2600	2700	1500	1300	2700	868	1600	672	894	725	855	2300	771	706	2200	1100	799	823	675	2600	2500	1300	2400	1000	900	2500	893	1900	400	400	2100	500	2200	450	450	1800	500	1400	2400	1200	1800	1300	1700	600	700	350	500	300	150	2200	400	250	1800	1700	1500	300	100	350	950	1600	150	600	250	1100	250	150	750	80	2400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	55844	917	616	959	1743	1721	1760	979	763	1684	856	1092	647	862	590	833	1336	756	695	1224	735	771	794	649	1567	1570	801	1312	617	488	1724	883	1051	345	277	1217	321	1231	302	266	1200	270	864	1376	796	1088	770	853	346	511	243	326	220	119	1249	197	127	893	1055	1014	237	54	211	630	863	81	409	83	678	125	89	448	30	1435									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3410	52	57	24	6	22	19	25	15	30	12	13	25	32	135	22	52	15	11	51	24	28	29	26	27	28	23	70	25	32	12	10	31	40	13	15	57	52	15	43	16	30	22	29	33	462	45	25	74	48	60	24	20	16	75	59	35	116	60	184	34	40	87	56	123	46	42	30	50	103	41	43	19	45									
6	Число погашенных избирательных бюллетеней	26807	531	327	717	251	857	921	496	522	986	0	495	0	0	0	0	912	0	0	925	341	0	0	0	1006	902	476	1018	358	380	764	0	818	15	110	868	122	917	133	141	584	200	514	995	371	250	485	822	180	141	47	150	60	15	876	144	88	791	585	302	29	6	52	264	614	23	149	137	372	22	20	259	31	920									
