Выборы Президента Российской Федерации																																																																																					
Дата голосования: 18.03.2018																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Химкинская городская																																																																																					
																																																																																					
Сводная таблица итогов голосования																																																																																					
																																																																																					
	Число участковых избирательных комиссий	74																																																																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	74																																																																																			
																																																																																					
		Сумма	УИК №3143	УИК №3144	УИК №3146	УИК №3147	УИК №3149	УИК №3150	УИК №3151	УИК №3152	УИК №3153	УИК №3154	УИК №3155	УИК №3156	УИК №3157	УИК №3158	УИК №3159	УИК №3160	УИК №3161	УИК №3162	УИК №3184	УИК №3185	УИК №3186	УИК №3187	УИК №3188	УИК №3189	УИК №3190	УИК №3191	УИК №3198	УИК №3199	УИК №3200	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3564	УИК №3566	УИК №3567	УИК №3568	УИК №3569	УИК №4117	УИК №4120	УИК №4121	УИК №4124	УИК №4125	УИК №4126	УИК №4127	УИК №4128	УИК №4129	УИК №4130	УИК №4207	УИК №4208	УИК №4209	УИК №4210									
1	"Число избирателей, включенных в список избирателей"	116102	1496	1402	1685	1500	1652	2153	1867	1811	1634	1411	1788	1434	1848	1778	2000	1469	2022	1452	1676	1750	1550	1552	1613	1889	1570	1790	1910	1838	1656	1863	1211	1421	2211	833	2167	1864	1910	1705	2156	1523	1399	2426	1709	1219	1451	2130	1854	1229	1257	1351	1525	996	1564	735	1937	1523	2427	1925	1242	1198	1423	1461	1427	835	1324	1649	1311	1433	1108	2002	283	1501	606	582									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	92281	1130	1170	1290	1170	1240	1580	1370	1360	1360	1090	1370	1070	1320	1250	1360	1040	1440	1050	1270	1270	1270	1190	1190	1480	1240	1400	1340	1250	1300	1401	990	1110	1960	740	2450	1390	1270	1140	1330	1150	1030	1540	1520	970	1120	1560	1440	1470	1020	1050	1340	850	1050	700	1140	1010	1790	1400	1620	930	1030	1120	1170	800	1000	1470	1150	1060	1080	1360	1000	1700	1000	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	69786	782	894	971	844	925	1199	1100	1028	979	789	1132	851	1078	1102	1224	820	1115	864	1001	1058	887	888	955	1060	973	1032	1065	1053	981	1154	699	828	1472	521	1706	1043	1089	999	1089	886	795	1327	932	709	835	1139	1062	1217	772	769	913	628	869	535	955	860	1575	975	1227	806	856	914	918	625	711	962	699	825	547	1166	226	1200	519	582									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1857	65	29	27	16	16	13	35	26	42	27	21	18	16	13	8	23	150	19	32	43	21	19	27	17	7	20	13	9	20	30	36	21	0	35	1	20	17	26	55	14	25	10	20	19	38	10	7	12	5	17	11	41	27	10	0	12	7	89	15	17	15	24	10	18	29	62	11	3	216	7	23	0	0	0									
6	Число погашенных избирательных бюллетеней	20638	283	247	292	310	299	368	235	306	339	274	217	201	226	135	128	197	175	167	237	169	361	283	208	403	260	348	262	188	299	218	255	261	488	184	743	327	164	115	186	250	210	203	568	242	247	411	371	241	243	264	416	181	154	155	185	138	208	336	378	107	159	182	242	157	260	446	440	232	317	187	751	500	481	418									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1833	65	29	27	16	16	13	35	26	20	27	21	18	16	13	8	23	150	19	32	43	21	19	27	17	7	20	13	9	20	30	36	21	0	35	1	20	17	26	55	14	25	10	19	19	38	10	7	12	5	17	11	41	27	10	0	12	7	89	15	17	15	24	10	18	29	62	11	3	216	7	22	0	0	0									
8	Число бюллетеней в стационарных ящиках для голосования	69477	782	892	968	843	924	1199	1100	1028	691	789	1131	851	1077	1102	1223	820	1115	864	1001	1057	887	888	955	1060	973	1032	1065	1053	981	1153	699	828	1470	521	1704	1043	1089	999	1089	886	795	1327	932	709	835	1139	1062	1217	772	769	913	628	869	535	955	860	1573	975	1227	806	856	913	917	625	711	962	699	825	547	1166	225	1200	519	582									
