Выборы Президента Российской Федерации																																																	
Дата голосования: 18.03.2018																																																	
																																																	
Наименование Избирательной комиссии:    Ноябрьская городская																																																	
																																																	
Сводная таблица итогов голосования																																																	
																																																	
	Число участковых избирательных комиссий	38																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	38																																															
																																																	
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738									
1	"Число избирателей, включенных в список избирателей"	68471	2715	2543	2692	2635	2499	2674	2354	1102	2453	1465	1531	2462	2450	2611	1160	2465	1254	2127	1162	1170	1239	1544	1631	1450	1109	1864	926	1637	1443	1597	2129	1662	1381	765	725	1367	2150	2328									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	68610	2750	2500	2750	2600	2500	2750	2300	1000	2500	1400	1350	2550	2550	2650	1150	2500	1150	2150	1000	1050	1250	1500	1600	1350	1100	1750	1010	1850	1550	1700	2100	1650	1500	800	800	1200	2400	2350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	60051	2641	2431	2616	2516	2419	2651	2226	751	2344	970	1307	2367	2378	2523	1079	2426	1097	2026	951	997	1195	1453	1468	973	759	1699	580	979	961	993	2074	1619	810	480	464	1146	1455	2227									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	641	8	7	13	16	11	13	11	62	5	4	2	13	7	15	2	5	8	10	9	4	4	6	4	5	5	9	295	2	12	5	2	8	6	7	5	7	19	15									
6	Число погашенных избирательных бюллетеней	7918	101	62	121	68	70	86	63	187	151	426	41	170	165	112	69	69	45	114	40	49	51	41	128	372	336	42	135	869	577	702	24	23	684	313	331	47	926	108									
7	Число избирательных бюллетеней в переносных ящиках для голосования	641	8	7	13	16	11	13	11	62	5	4	2	13	7	15	2	5	8	10	9	4	4	6	4	5	5	9	295	2	12	5	2	8	6	7	5	7	19	15									
8	Число бюллетеней в стационарных ящиках для голосования	60051	2641	2431	2616	2516	2419	2651	2226	751	2344	970	1307	2367	2378	2523	1079	2426	1097	2026	951	997	1195	1453	1468	973	759	1699	580	979	961	993	2074	1619	810	480	464	1146	1455	2227									
9	Число недействительных избирательных бюллетеней	412	13	9	10	7	8	5	12	12	19	15	15	20	7	20	6	19	9	24	6	5	5	13	14	17	6	13	14	8	13	3	2	18	11	3	10	5	13	3									
10	Число действительных избирательных бюллетеней	60280	2636	2429	2619	2525	2422	2659	2225	801	2330	959	1294	2360	2378	2518	1075	2412	1096	2012	954	996	1194	1446	1458	961	758	1695	861	973	960	995	2074	1609	805	484	459	1148	1461	2239									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
13	Бабурин Сергей Николаевич	142	5	2	3	4	2	3	4	1	13	7	2	6	3	5	3	7	3	3	3	3	3	4	3	1	4	3	5	4	2	2	3	2	2	1	2	7	9	3									
		0.23%	0.19%	0.08%	0.11%	0.16%	0.08%	0.11%	0.18%	0.12%	0.55%	0.72%	0.15%	0.25%	0.13%	0.20%	0.28%	0.29%	0.27%	0.15%	0.31%	0.30%	0.25%	0.27%	0.20%	0.10%	0.52%	0.18%	0.57%	0.41%	0.21%	0.20%	0.14%	0.12%	0.25%	0.21%	0.43%	0.61%	0.61%	0.13%									
14	Грудинин Павел Николаевич	4367	200	163	179	160	174	149	169	77	183	95	94	135	168	162	94	141	73	134	93	86	92	87	64	114	82	83	75	119	90	116	105	101	91	37	47	66	160	109									
		7.20%	7.55%	6.69%	6.81%	6.32%	7.16%	5.59%	7.55%	9.47%	7.79%	9.75%	7.18%	5.67%	7.04%	6.38%	8.70%	5.80%	6.61%	6.58%	9.69%	8.59%	7.67%	5.96%	4.35%	11.66%	10.73%	4.86%	8.57%	12.13%	9.25%	11.62%	5.06%	6.21%	11.15%	7.60%	10.02%	5.72%	10.85%	4.86%									
15	Жириновский Владимир Вольфович	4479	212	257	224	164	172	144	143	66	105	59	118	94	161	98	120	162	96	92	99	111	112	217	67	80	62	111	74	64	91	76	107	103	52	38	47	52	122	307									
		7.38%	8.00%	10.54%	8.52%	6.48%	7.08%	5.41%	6.39%	8.12%	4.47%	6.06%	9.01%	3.95%	6.75%	3.86%	11.10%	6.66%	8.69%	4.52%	10.31%	11.09%	9.34%	14.87%	4.55%	8.18%	8.12%	6.50%	8.46%	6.52%	9.35%	7.62%	5.15%	6.33%	6.37%	7.80%	10.02%	4.51%	8.28%	13.69%									
16	Путин Владимир Владимирович	49965	2181	1943	2180	2163	2018	2304	1862	635	1977	774	1048	2074	1993	2169	831	2065	903	1733	749	768	958	1075	1299	730	593	1475	670	762	756	772	1842	1383	635	396	355	1006	1137	1751									
		82.33%	82.33%	79.70%	82.92%	85.43%	83.05%	86.49%	83.24%	78.11%	84.16%	79.47%	80.06%	87.14%	83.56%	85.46%	76.87%	84.94%	81.72%	85.12%	78.02%	76.72%	79.90%	73.68%	88.25%	74.64%	77.62%	86.36%	76.57%	77.68%	77.70%	77.35%	88.73%	85.00%	77.82%	81.31%	75.69%	87.25%	77.14%	78.10%									
17	Собчак Ксения Анатольевна	317	4	3	3	4	4	3	4	10	25	13	3	21	3	20	4	3	2	24	3	4	3	4	13	21	8	3	16	7	14	17	2	2	14	7	5	4	13	4									
		0.52%	0.15%	0.12%	0.11%	0.16%	0.16%	0.11%	0.18%	1.23%	1.06%	1.33%	0.23%	0.88%	0.13%	0.79%	0.37%	0.12%	0.18%	1.18%	0.31%	0.40%	0.25%	0.27%	0.88%	2.15%	1.05%	0.18%	1.83%	0.71%	1.44%	1.70%	0.10%	0.12%	1.72%	1.44%	1.07%	0.35%	0.88%	0.18%									
18	Сурайкин Максим Александрович	686	27	56	24	25	46	50	37	3	8	0	24	7	45	38	15	28	14	9	4	18	20	51	5	1	1	14	5	1	3	2	10	12	2	3	1	4	14	59									
		1.13%	1.02%	2.30%	0.91%	0.99%	1.89%	1.88%	1.65%	0.37%	0.34%	0.00%	1.83%	0.29%	1.89%	1.50%	1.39%	1.15%	1.27%	0.44%	0.42%	1.80%	1.67%	3.50%	0.34%	0.10%	0.13%	0.82%	0.57%	0.10%	0.31%	0.20%	0.48%	0.74%	0.25%	0.62%	0.21%	0.35%	0.95%	2.63%									
19	Титов Борис Юрьевич	145	3	2	4	2	3	4	2	1	11	8	2	10	2	14	4	3	3	10	1	2	3	4	4	3	2	2	4	8	0	3	3	3	4	1	2	3	2	3									
		0.24%	0.11%	0.08%	0.15%	0.08%	0.12%	0.15%	0.09%	0.12%	0.47%	0.82%	0.15%	0.42%	0.08%	0.55%	0.37%	0.12%	0.27%	0.49%	0.10%	0.20%	0.25%	0.27%	0.27%	0.31%	0.26%	0.12%	0.46%	0.82%	0.00%	0.30%	0.14%	0.18%	0.49%	0.21%	0.43%	0.26%	0.14%	0.13%									
20	Явлинский Григорий Алексеевич	179	4	3	2	3	3	2	4	8	8	3	3	13	3	12	4	3	2	7	2	4	3	4	3	11	6	4	12	8	4	7	2	3	5	1	0	6	4	3									
		0.29%	0.15%	0.12%	0.08%	0.12%	0.12%	0.08%	0.18%	0.98%	0.34%	0.31%	0.23%	0.55%	0.13%	0.47%	0.37%	0.12%	0.18%	0.34%	0.21%	0.40%	0.25%	0.27%	0.20%	1.12%	0.79%	0.23%	1.37%	0.82%	0.41%	0.70%	0.10%	0.18%	0.61%	0.21%	0.00%	0.52%	0.27%	0.13%									
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
