Выборы Президента Российской Федерации																																																				
Дата голосования: 18.03.2018																																																				
																																																				
Наименование Избирательной комиссии:    Сергачская																																																				
																																																				
Сводная таблица итогов голосования																																																				
																																																				
	Число участковых избирательных комиссий	41																																																		
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	41																																																		
																																																				
		Сумма	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794									
1	"Число избирателей, включенных в список избирателей"	24170	1056	1121	1074	1028	961	965	980	1596	1391	1466	1021	1446	1017	1030	1165	443	425	632	165	234	328	314	554	143	57	204	280	162	360	163	77	71	62	539	304	555	191	153	81	269	87									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24540	1090	1160	1090	1040	980	990	970	1590	1400	1490	1050	1430	1040	1020	1190	460	430	650	180	270	350	320	560	140	70	210	290	160	370	160	70	60	60	550	300	530	190	170	80	290	90									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15463	700	785	856	710	679	717	525	875	794	833	616	983	640	733	655	264	251	478	120	153	121	174	360	86	23	81	153	111	320	82	50	51	32	394	188	320	148	111	49	180	62									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1993	122	72	26	32	8	74	80	74	94	90	75	52	28	72	47	65	42	43	25	57	79	64	91	42	6	64	35	28	30	57	11	4	16	56	39	89	19	15	15	47	8									
6	Число погашенных избирательных бюллетеней	7084	268	303	208	298	293	199	365	641	512	567	359	395	372	215	488	131	137	129	35	60	150	82	109	12	41	65	102	21	20	21	9	5	12	100	73	121	23	44	16	63	20									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1993	122	72	26	32	8	74	80	74	94	90	75	52	28	72	47	65	42	43	25	57	79	64	91	42	6	64	35	28	30	57	11	4	16	56	39	89	19	15	15	47	8									
8	Число бюллетеней в стационарных ящиках для голосования	15463	700	785	856	710	679	717	525	875	794	833	616	983	640	733	655	264	251	478	120	153	121	174	360	86	23	81	153	111	320	82	50	51	32	394	188	320	148	111	49	180	62									
9	Число недействительных избирательных бюллетеней	160	8	7	5	7	12	0	8	8	11	13	10	11	8	3	12	1	2	8	1	2	0	2	1	3	2	0	2	1	0	3	0	1	0	5	1	0	2	0	0	0	0									
10	Число действительных избирательных бюллетеней	17296	814	850	877	735	675	791	597	941	877	910	681	1024	660	802	690	328	291	513	144	208	200	236	450	125	27	145	186	138	350	136	61	54	48	445	226	409	165	126	64	227	70									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																				
13	Бабурин Сергей Николаевич	87	5	3	2	3	4	0	5	5	3	11	5	3	3	1	2	1	4	3	0	2	1	1	5	2	0	0	2	1	0	0	0	1	1	0	0	3	0	1	1	3	0									
		0.50%	0.61%	0.35%	0.23%	0.40%	0.58%	0.00%	0.83%	0.53%	0.34%	1.19%	0.72%	0.29%	0.45%	0.12%	0.28%	0.30%	1.37%	0.58%	0.00%	0.95%	0.50%	0.42%	1.11%	1.56%	0.00%	0.00%	1.06%	0.72%	0.00%	0.00%	0.00%	1.82%	2.08%	0.00%	0.00%	0.73%	0.00%	0.79%	1.56%	1.32%	0.00%									
14	Грудинин Павел Николаевич	2497	132	120	94	114	123	140	94	163	171	190	113	147	123	82	152	57	30	73	8	16	13	13	19	10	2	15	28	8	43	17	5	5	11	59	10	34	9	19	7	26	2									
		14.30%	16.06%	14.00%	10.66%	15.36%	17.90%	17.70%	15.54%	17.18%	19.26%	20.59%	16.35%	14.20%	18.41%	10.19%	21.65%	17.33%	10.24%	14.01%	5.52%	7.62%	6.50%	5.46%	4.21%	7.81%	6.90%	10.34%	14.89%	5.76%	12.29%	12.23%	8.20%	9.09%	22.92%	13.11%	4.41%	8.31%	5.39%	15.08%	10.94%	11.45%	2.86%									
15	Жириновский Владимир Вольфович	1239	47	62	121	38	51	41	53	64	63	84	66	57	44	29	71	42	3	37	4	10	9	23	41	11	1	11	6	6	13	7	4	2	3	8	2	47	12	15	9	18	4									
		7.10%	5.72%	7.23%	13.72%	5.12%	7.42%	5.18%	8.76%	6.74%	7.09%	9.10%	9.55%	5.51%	6.59%	3.60%	10.11%	12.77%	1.02%	7.10%	2.76%	4.76%	4.50%	9.66%	9.09%	8.59%	3.45%	7.59%	3.19%	4.32%	3.71%	5.04%	6.56%	3.64%	6.25%	1.78%	0.88%	11.49%	7.19%	11.90%	14.06%	7.93%	5.71%									
