Выборы Президента Российской Федерации																																																																	
Дата голосования: 18.03.2018																																																																	
																																																																	
Наименование Избирательной комиссии:    Аннинская																																																																	
																																																																	
Сводная таблица итогов голосования																																																																	
																																																																	
	Число участковых избирательных комиссий	54																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	54																																																															
																																																																	
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155									
1	"Число избирателей, включенных в список избирателей"	35752	1135	887	1410	2195	1418	1595	1055	1646	1335	1216	1153	1351	917	236	413	444	192	1065	502	159	531	691	347	402	170	289	137	241	498	270	914	340	733	381	314	299	483	484	198	112	604	66	105	624	714	444	539	809	961	831	872	432	441	152									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36440	1150	900	1450	2250	1400	1600	1050	1680	1350	1270	1170	1400	930	250	420	470	200	1100	500	150	530	720	350	410	170	290	140	250	510	280	920	350	750	390	310	300	490	480	200	110	620	70	100	650	720	470	550	840	1000	850	900	450	430	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25550	937	653	676	1553	1138	1192	707	1132	1006	912	880	941	672	187	254	370	149	859	341	102	394	461	279	254	111	206	85	184	400	164	685	279	459	203	148	231	330	404	130	50	497	53	77	523	476	302	422	627	708	346	699	264	326	112									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5440	49	123	155	247	51	132	147	203	136	123	158	207	135	33	136	42	30	148	113	48	38	159	30	117	47	59	40	34	63	44	147	32	214	144	129	44	103	61	45	49	65	7	22	55	198	110	82	74	135	365	74	131	78	29									
6	Число погашенных избирательных бюллетеней	5450	164	124	619	450	211	276	196	345	208	235	132	252	123	30	30	58	21	93	46	0	98	100	41	39	12	25	15	32	47	72	88	39	77	43	33	25	57	15	25	11	58	10	1	72	46	58	46	139	157	139	127	55	26	9									
7	Число избирательных бюллетеней в переносных ящиках для голосования	5440	49	123	155	247	51	132	147	203	136	123	158	207	135	33	136	42	30	148	113	48	38	159	30	117	47	59	40	34	63	44	147	32	214	144	129	44	103	61	45	49	65	7	22	55	198	110	82	74	135	365	74	131	78	29									
8	Число бюллетеней в стационарных ящиках для голосования	25548	937	653	675	1553	1138	1191	707	1132	1006	912	880	941	672	187	254	370	149	859	341	102	394	461	279	254	111	206	85	184	400	164	685	279	459	203	148	231	330	404	130	50	497	53	77	523	476	302	422	627	708	346	699	264	326	112									
9	Число недействительных избирательных бюллетеней	55	0	5	7	0	6	14	2	2	0	1	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0	0	0									
10	Число действительных избирательных бюллетеней	30933	986	771	823	1800	1183	1309	852	1333	1142	1034	1038	1148	803	220	390	412	179	1003	454	150	432	620	309	371	158	265	125	218	463	207	832	311	673	347	277	275	433	465	175	99	562	60	99	578	674	412	499	701	843	707	773	395	404	141									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
13	Бабурин Сергей Николаевич	105	5	3	3	4	4	20	2	1	8	4	8	2	4	0	1	1	0	6	1	0	2	0	0	1	0	0	0	0	1	1	4	0	2	0	2	0	0	0	0	2	0	0	0	0	2	0	0	1	5	2	0	2	1	0									
