Выборы Президента Российской Федерации																																																																	
Дата голосования: 18.03.2018																																																																	
																																																																	
Наименование Избирательной комиссии:    Лаишевская																																																																	
																																																																	
Сводная таблица итогов голосования																																																																	
																																																																	
	Число участковых избирательных комиссий	54																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	54																																																															
																																																																	
		Сумма	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №2828									
1	"Число избирателей, включенных в список избирателей"	32946	399	540	309	578	202	182	754	684	163	96	206	235	641	96	855	275	887	934	1162	1241	906	985	979	1039	1020	1274	781	642	652	1338	402	423	128	383	555	522	266	511	269	553	143	1091	225	102	536	641	789	1158	576	882	929	697	636	474									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33036	404	549	308	580	203	182	769	692	164	98	206	237	638	103	857	275	857	905	1149	1208	869	961	949	1040	974	1213	780	643	649	1311	396	419	126	375	550	530	277	502	298	560	147	1142	237	105	532	639	789	1158	581	916	946	726	666	646									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	29421	392	516	287	538	192	172	725	657	149	88	185	205	607	69	750	236	727	856	1147	1208	745	908	862	941	675	765	727	610	573	1247	367	355	104	358	541	438	248	474	203	511	122	1014	178	67	498	574	732	1033	511	844	832	631	553	474									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1662	5	9	18	28	9	8	14	11	9	8	20	25	20	24	37	27	42	40	2	0	67	53	30	20	49	45	32	26	65	39	27	60	20	17	3	74	18	28	61	35	17	0	40	31	29	26	51	78	48	34	78	31	74	0									
6	Число погашенных избирательных бюллетеней	1953	7	24	3	14	2	2	30	24	6	2	1	7	11	10	70	12	88	9	0	0	57	0	57	79	250	403	21	7	11	25	2	4	2	0	6	18	11	0	34	14	8	128	19	7	5	39	6	47	22	38	36	64	39	172									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1661	5	9	18	28	9	8	14	11	9	8	20	25	20	24	37	27	42	40	2	0	67	53	30	19	49	45	32	26	65	39	27	60	20	17	3	74	18	28	61	35	17	0	40	31	29	26	51	78	48	34	78	31	74	0									
8	Число бюллетеней в стационарных ящиках для голосования	29412	392	516	287	538	192	172	725	657	149	88	185	205	607	69	750	236	727	856	1147	1208	745	906	862	941	675	765	727	610	573	1247	367	355	104	358	541	438	248	474	203	511	122	1014	178	67	498	572	732	1029	510	844	832	631	553	474									
9	Число недействительных избирательных бюллетеней	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	8	0	0	5	11	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	4	15	0	7	1	0	1	3									
10	Число действительных избирательных бюллетеней	30992	397	525	305	566	201	180	739	668	158	96	205	230	627	93	787	263	758	896	1149	1208	804	959	892	955	713	801	758	636	638	1286	394	415	124	375	544	512	266	502	264	546	138	1014	218	98	527	594	779	1092	558	871	909	662	626	471									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
13	Бабурин Сергей Николаевич	79	2	1	0	1	0	0	0	1	0	0	0	1	3	0	0	0	3	5	6	1	3	0	1	8	2	9	1	1	1	2	0	0	0	0	1	0	0	0	1	2	1	7	1	1	1	2	1	4	1	0	2	1	1	0									
