Выборы Президента Российской Федерации																																																																																						
Дата голосования: 18.03.2018																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Омская																																																																																						
																																																																																						
Сводная таблица итогов голосования																																																																																						
																																																																																						
	Число участковых избирательных комиссий	75																																																																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	75																																																																																				
																																																																																						
		Сумма	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395									
1	"Число избирателей, включенных в список избирателей"	82058	1148	225	313	291	1649	1124	259	1401	1110	1336	3000	815	2241	620	2124	1396	324	1472	1433	1154	1941	188	399	165	1626	1859	879	356	1688	2035	1634	1582	899	1356	1285	1953	993	2185	1231	1858	401	2918	909	448	304	1424	256	1736	311	1360	281	131	133	165	204	190	1135	181	263	2335	571	208	1988	167	1725	1607	1414	2405	3075	437	1559	228	388	854	800									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	81054	1170	215	315	280	1645	1120	260	1420	1050	1320	2940	810	2220	630	2125	1420	330	1495	1460	1175	1930	190	390	145	1540	1865	775	350	1675	2050	1645	1600	940	1360	1250	1945	920	2000	1200	1850	380	2920	880	450	290	1440	240	1700	300	1350	270	135	125	160	205	190	1145	175	260	2350	550	200	1950	160	1690	1624	1370	2410	2980	430	1510	215	385	810	785									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	45470	558	102	93	180	886	573	143	772	575	605	1737	406	1315	311	1397	661	157	871	845	627	966	89	251	89	852	984	605	190	1064	1286	917	876	496	784	714	1123	508	1274	616	973	170	1532	521	207	190	773	128	964	155	682	162	68	65	100	109	80	530	91	125	1336	275	111	1155	117	1076	966	891	1256	1646	238	908	149	227	531	465									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2397	36	5	5	8	123	57	19	37	35	22	40	23	48	24	61	37	13	26	15	20	151	7	15	4	126	105	22	11	31	26	22	40	27	32	16	32	18	22	17	66	141	56	17	16	12	39	12	28	3	81	16	3	9	5	13	6	52	14	30	49	26	7	61	0	35	18	41	18	10	11	48	10	16	29	21									
6	Число погашенных избирательных бюллетеней	33187	576	108	217	92	636	490	98	611	440	693	1163	381	857	295	667	722	160	598	600	528	813	94	124	52	562	776	148	149	580	738	706	684	417	544	520	790	394	704	567	811	69	1332	342	227	88	628	100	708	142	587	92	64	51	55	83	104	563	70	105	965	249	82	734	43	579	640	438	1136	1324	181	554	56	142	250	299									
