Выборы Президента Российской Федерации																																																																																																	
Дата голосования: 18.03.2018																																																																																																	
																																																																																																	
Наименование Избирательной комиссии:    Симферопольская																																																																																																	
																																																																																																	
Сводная таблица итогов голосования																																																																																																	
																																																																																																	
	Число участковых избирательных комиссий	86																																																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	86																																																																																															
																																																																																																	
		Сумма	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207									
1	"Число избирателей, включенных в список избирателей"	121876	1725	1241	2501	2011	1910	885	414	2025	1160	3333	1372	1573	1790	735	759	1962	2040	894	1942	2336	768	795	1607	804	1650	1153	519	1784	778	786	2216	573	2237	1211	500	203	2138	549	2511	1920	1556	1608	1231	455	1014	1725	1901	2536	838	1835	2754	1470	1670	726	756	2100	478	520	2660	2681	1648	1778	1876	1163	1285	1158	1685	1741	1586	1693	1876	716	1673	920	726	739	177	1451	1328	2530	2480	1829	708	293	291	702									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	106285	1500	1050	2200	1750	1650	750	350	1750	1050	2850	1250	1350	1600	650	650	1700	1750	750	1700	1950	700	700	1400	750	1450	1050	450	1550	700	700	1950	500	2000	1100	450	150	1900	465	2200	1700	1400	1400	1100	400	900	1550	1650	2100	780	1500	2400	1350	1450	650	700	1800	400	450	2200	2150	1450	1550	1600	1100	1100	1050	1500	1500	1400	1400	1670	600	1450	800	650	650	150	1250	1150	2200	2150	1600	600	300	275	695									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	84640	1110	756	1989	1077	1282	462	302	1253	802	2589	1005	1206	1399	566	487	1453	1453	727	829	1607	526	550	776	542	1253	881	410	1105	518	638	1779	462	1362	709	376	145	1839	434	1943	1529	1157	1132	983	384	701	1408	811	1165	733	1366	2350	1226	1325	548	593	1436	335	392	2122	1968	1178	1220	1064	968	1027	920	1314	1431	1238	809	1526	282	531	691	574	512	138	1136	699	1630	1411	505	469	290	252	559									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4325	45	44	80	63	43	46	13	59	34	47	105	71	73	25	36	38	38	23	22	95	12	37	64	129	158	78	34	81	38	37	128	20	99	51	6	5	52	31	64	73	61	35	53	5	32	82	24	62	25	46	19	61	122	54	58	248	6	23	54	70	58	41	37	52	40	50	90	50	48	59	61	15	14	10	31	14	6	55	41	61	71	31	30	0	23	0									
6	Число погашенных избирательных бюллетеней	17320	345	250	131	610	325	242	35	438	214	214	140	73	128	59	127	209	259	0	849	248	162	113	560	79	39	91	6	364	144	25	43	18	539	340	68	0	9	0	193	98	182	233	64	11	167	60	815	873	22	88	31	63	3	48	49	116	59	35	24	112	214	289	499	80	33	80	96	19	114	532	83	303	905	99	45	124	6	59	410	509	668	1064	101	10	0	136									
7	Число избирательных бюллетеней в переносных ящиках для голосования	4325	45	44	80	63	43	46	13	59	34	47	105	71	73	25	36	38	38	23	22	95	12	37	64	129	158	78	34	81	38	37	128	20	99	51	6	5	52	31	64	73	61	35	53	5	32	82	24	62	25	46	19	61	122	54	58	248	6	23	54	70	58	41	37	52	40	50	90	50	48	59	61	15	14	10	31	14	6	55	41	61	71	31	30	0	23	0									
8	Число бюллетеней в стационарных ящиках для голосования	84639	1110	756	1989	1077	1282	462	302	1253	802	2589	1005	1206	1399	566	487	1453	1453	727	829	1607	526	550	776	542	1253	881	410	1105	518	638	1779	462	1362	709	376	145	1839	434	1943	1529	1157	1132	983	384	701	1408	811	1165	733	1366	2350	1226	1325	548	593	1436	335	392	2122	1968	1178	1220	1064	968	1027	920	1314	1431	1238	809	1526	282	531	691	574	512	138	1136	699	1630	1410	505	469	290	252	559									
9	Число недействительных избирательных бюллетеней	752	17	4	0	46	11	7	0	7	7	22	3	12	15	14	6	11	6	6	11	15	13	6	15	2	2	12	8	16	6	2	0	2	14	10	3	2	0	0	12	15	4	8	6	4	7	9	14	15	2	10	0	10	2	13	6	22	5	4	25	7	12	6	11	6	2	10	15	8	10	5	0	21	11	7	7	4	0	7	8	19	29	7	3	2	6	3									
10	Число действительных избирательных бюллетеней	88212	1138	796	2069	1094	1314	501	315	1305	829	2614	1107	1265	1457	577	517	1480	1485	744	840	1687	525	581	825	669	1409	947	436	1170	550	673	1907	480	1447	750	379	148	1891	465	1995	1587	1214	1159	1030	385	726	1481	821	1212	756	1402	2369	1277	1445	589	645	1662	336	411	2151	2031	1224	1255	1090	1014	1065	960	1389	1473	1276	863	1587	276	534	694	598	522	144	1184	732	1672	1452	529	496	288	269	556									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																	
13	Бабурин Сергей Николаевич	140	0	0	4	1	5	2	1	1	1	2	1	2	1	3	4	2	3	0	2	1	0	3	11	0	0	1	0	1	0	1	3	0	4	1	0	0	2	0	2	2	0	2	2	0	1	0	1	0	1	2	7	0	0	0	1	7	1	1	3	3	1	2	3	0	1	0	0	2	1	3	1	1	1	2	2	0	0	2	0	1	3	5	0	0	8	2									
		0.16%	0.00%	0.00%	0.19%	0.09%	0.38%	0.39%	0.32%	0.08%	0.12%	0.08%	0.09%	0.16%	0.07%	0.51%	0.76%	0.13%	0.20%	0.00%	0.24%	0.06%	0.00%	0.51%	1.31%	0.00%	0.00%	0.10%	0.00%	0.08%	0.00%	0.15%	0.16%	0.00%	0.27%	0.13%	0.00%	0.00%	0.11%	0.00%	0.10%	0.12%	0.00%	0.17%	0.19%	0.00%	0.14%	0.00%	0.12%	0.00%	0.13%	0.14%	0.30%	0.00%	0.00%	0.00%	0.15%	0.42%	0.29%	0.24%	0.14%	0.15%	0.08%	0.16%	0.27%	0.00%	0.09%	0.00%	0.00%	0.14%	0.08%	0.35%	0.06%	0.34%	0.18%	0.29%	0.33%	0.00%	0.00%	0.17%	0.00%	0.06%	0.20%	0.93%	0.00%	0.00%	2.91%	0.36%									
14	Грудинин Павел Николаевич	1605	20	17	23	26	24	10	3	16	12	98	17	28	21	36	24	19	29	18	12	39	14	10	24	10	14	21	8	23	9	4	25	3	43	13	8	1	10	8	21	10	15	19	12	4	16	18	26	32	14	23	56	17	16	5	18	28	7	3	33	45	22	13	12	15	20	19	29	18	18	17	21	11	15	16	4	4	1	15	25	29	38	15	8	3	4	35									
		1.80%	1.73%	2.13%	1.11%	2.28%	1.81%	1.97%	0.95%	1.22%	1.44%	3.72%	1.53%	2.19%	1.43%	6.09%	4.59%	1.27%	1.95%	2.40%	1.41%	2.29%	2.60%	1.70%	2.86%	1.49%	0.99%	2.19%	1.80%	1.94%	1.62%	0.59%	1.31%	0.62%	2.94%	1.71%	2.09%	0.67%	0.53%	1.72%	1.05%	0.62%	1.23%	1.63%	1.16%	1.03%	2.18%	1.21%	3.11%	2.61%	1.85%	1.63%	2.36%	1.32%	1.11%	0.83%	2.76%	1.66%	2.05%	0.72%	1.52%	2.21%	1.78%	1.03%	1.09%	1.47%	1.87%	1.96%	2.07%	1.22%	1.40%	1.96%	1.32%	3.70%	2.75%	2.28%	0.66%	0.76%	0.69%	1.26%	3.38%	1.71%	2.57%	2.80%	1.60%	1.03%	1.45%	6.26%									
