Выборы Президента Российской Федерации																																																																	
Дата голосования: 18.03.2018																																																																	
																																																																	
Наименование Избирательной комиссии:    Альметьевская																																																																	
																																																																	
Сводная таблица итогов голосования																																																																	
																																																																	
	Число участковых избирательных комиссий	54																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	54																																																															
																																																																	
		Сумма	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877									
1	"Число избирателей, включенных в список избирателей"	37724	1418	1188	466	245	255	265	665	351	129	261	306	595	876	670	410	1490	512	410	132	706	423	409	1317	1628	482	537	808	565	623	692	541	176	1098	637	796	1638	1459	122	376	515	150	594	218	626	290	234	880	599	230	512	1737	1598	2235	1629									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37296	1400	1198	490	240	240	270	620	350	120	270	310	570	790	650	410	1451	500	410	140	680	420	410	1350	1670	470	540	760	550	590	700	540	160	1127	600	830	1610	1420	120	360	510	140	600	200	630	280	220	850	580	230	520	1770	1630	2230	1570									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	30578	986	921	423	181	190	248	512	306	112	216	272	498	741	560	390	974	461	360	103	526	367	299	1212	1048	430	461	717	479	541	579	458	144	931	523	720	1233	1009	116	344	345	115	547	179	518	240	186	792	518	213	430	1479	1439	1983	1003									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1704	27	50	20	12	31	11	85	28	7	25	28	29	39	48	11	26	26	17	17	36	35	25	38	107	12	22	15	5	24	78	63	15	0	50	7	45	59	2	13	31	14	28	17	54	40	11	33	32	4	10	85	56	61	40									
6	Число погашенных избирательных бюллетеней	5014	387	227	47	47	19	11	23	16	1	29	10	43	10	42	9	451	13	33	20	118	18	86	100	515	28	57	28	66	25	43	19	1	196	27	103	332	352	2	3	134	11	25	4	58	0	23	25	30	13	80	206	135	186	527									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1704	27	50	20	12	31	11	85	28	7	25	28	29	39	48	11	26	26	17	17	36	35	25	38	107	12	22	15	5	24	78	63	15	0	50	7	45	59	2	13	31	14	28	17	54	40	11	33	32	4	10	85	56	61	40									
8	Число бюллетеней в стационарных ящиках для голосования	30571	986	921	423	181	190	248	512	306	112	216	272	497	741	560	390	973	461	360	103	526	367	299	1211	1047	430	461	717	479	541	579	458	144	928	523	720	1233	1009	116	344	345	115	547	179	518	240	186	792	518	213	430	1479	1439	1983	1003									
9	Число недействительных избирательных бюллетеней	356	31	1	9	1	2	0	15	11	0	1	0	1	13	3	0	6	4	0	2	5	7	5	3	26	4	5	14	6	5	19	0	0	4	4	5	5	0	0	2	8	0	0	2	0	0	0	6	10	2	4	29	19	20	37									
10	Число действительных избирательных бюллетеней	31919	982	970	434	192	219	259	582	323	119	240	300	525	767	605	401	993	483	377	118	557	395	319	1246	1128	438	478	718	478	560	638	521	159	924	569	722	1273	1068	118	355	368	129	575	194	572	280	197	819	540	215	436	1535	1476	2024	1006									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
13	Бабурин Сергей Николаевич	166	9	8	1	1	1	0	1	0	1	1	1	0	2	0	1	8	2	3	0	9	1	1	10	7	2	2	0	0	2	1	4	0	5	4	7	6	7	0	0	1	0	2	0	5	0	1	5	0	2	1	10	10	12	9									
