Выборы Президента Российской Федерации																																																																																																																												
Дата голосования: 18.03.2018																																																																																																																												
																																																																																																																												
"Наименование Избирательной комиссии:    Курск, Центральная"																																																																																																																												
																																																																																																																												
Сводная таблица итогов голосования																																																																																																																												
																																																																																																																												
	Число участковых избирательных комиссий	113																																																																																																																										
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	113																																																																																																																										
																																																																																																																												
		Сумма	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163									
1	"Число избирателей, включенных в список избирателей"	181630	1159	723	2600	2617	1057	2059	2748	1825	1800	1988	1043	1215	2243	2066	896	1765	2307	1873	1702	2370	2341	1273	822	2098	2369	2276	1912	1824	1169	2491	2584	2562	1971	1980	1380	1168	2818	2502	2587	2614	2651	2523	2449	2806	2457	2433	2153	2180	2198	1347	254	1658	2602	1984	1056	698	914	2027	806	1310	1422	1374	1205	2286	1065	1961	1516	2041	1798	1774	775	1054	543	688	1310	1559	1760	1544	1746	2003	2292	896	1075	911	2378	1335	2704	2794	2115	987	2714	1095	1696	398	80	86	74	63	122	118	96	101	113	44	412	201	105	2366	1602	2562	2251	2791	2326									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	164304	1000	600	2150	2400	900	1400	2700	1800	1400	1570	900	1000	2000	2000	800	1700	1900	1800	1500	1900	2300	1000	700	2050	2250	2200	1900	1400	1050	2450	2450	2500	1900	1900	1200	900	2650	2500	2450	2500	2550	2400	2400	2600	2400	2400	2200	2300	1900	1300	230	1600	2500	1900	900	600	800	1950	700	1000	1100	1100	900	2200	900	1900	1200	1950	1700	1400	600	1000	400	600	1100	1500	1700	1200	1400	1950	2250	750	900	750	2300	1200	2500	2600	2000	800	2400	1000	1650	400	80	86	74	63	122	116	95	97	113	42	411	200	105	2000	1300	1900	2000	2000	1900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	107187	683	430	1587	1657	612	1240	1508	1010	1071	1077	458	675	1263	1144	442	907	1166	1006	1092	1319	1394	697	394	1333	1364	1397	1191	1100	761	1476	1490	1480	1136	1194	845	707	1703	1421	1533	1560	1573	1635	1458	1709	1443	1261	1165	1378	1355	809	230	862	1310	1064	554	391	584	1293	423	886	875	738	744	1394	663	1065	963	1282	1133	1053	500	778	341	457	599	887	970	896	1041	1230	1379	564	607	539	1380	785	1771	1731	1377	578	1438	584	1130	203	79	86	74	61	122	115	95	97	113	42	411	200	105	1344	927	1305	1402	1667	1361									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4048	18	15	43	34	14	42	80	31	82	479	31	33	30	39	21	43	74	64	25	31	73	23	6	46	46	37	31	32	20	33	38	50	34	24	26	25	51	39	37	23	30	34	51	35	33	24	37	20	19	20	0	27	32	65	57	25	21	50	18	32	52	21	26	86	23	65	51	47	48	55	37	11	19	15	63	46	70	44	32	40	47	18	20	39	56	54	22	31	38	15	62	91	37	13	0	0	0	0	0	0	0	0	0	0	0	0	0	15	5	22	24	22	13									
6	Число погашенных избирательных бюллетеней	53069	299	155	520	709	274	118	1112	759	247	14	411	292	707	817	337	750	660	730	383	550	833	280	300	671	840	766	678	268	269	941	922	970	730	682	329	168	896	1040	880	917	947	731	891	856	924	1115	998	902	526	471	0	711	1158	771	289	184	195	607	259	82	173	341	130	720	214	770	186	621	519	292	63	211	40	128	438	567	660	260	327	680	824	168	273	172	864	361	707	838	585	207	900	325	483	184	1	0	0	2	0	1	0	0	0	0	0	0	0	641	368	573	574	311	526									
7	Число избирательных бюллетеней в переносных ящиках для голосования	4044	18	15	43	34	14	42	80	31	82	479	31	33	30	39	21	43	74	64	25	31	73	23	6	46	46	37	31	32	20	33	38	50	34	24	26	25	49	39	37	23	29	34	51	35	33	24	37	20	19	20	0	27	32	65	57	25	21	50	18	32	52	21	26	86	23	65	51	47	48	55	37	11	19	15	63	46	70	44	32	40	47	18	20	39	56	54	22	31	38	15	61	91	37	13	0	0	0	0	0	0	0	0	0	0	0	0	0	15	5	22	24	22	13									
8	Число бюллетеней в стационарных ящиках для голосования	107158	683	430	1587	1657	612	1240	1508	1010	1071	1077	458	675	1263	1144	442	907	1166	1006	1092	1319	1394	697	394	1333	1364	1396	1191	1100	761	1475	1490	1480	1136	1194	845	707	1703	1421	1533	1560	1573	1635	1456	1709	1443	1261	1165	1378	1355	808	230	862	1310	1064	554	391	584	1293	423	886	875	737	743	1392	663	1065	956	1282	1133	1052	500	778	341	456	599	887	970	895	1039	1230	1375	563	607	538	1380	785	1771	1731	1377	578	1438	584	1129	203	79	86	74	61	122	115	95	97	113	42	411	200	105	1344	926	1305	1402	1667	1361									
9	Число недействительных избирательных бюллетеней	951	6	10	12	17	3	11	12	14	10	25	3	4	7	4	1	10	13	2	3	10	11	10	2	13	13	13	5	5	6	13	14	13	8	11	5	3	20	22	19	16	18	15	9	15	7	14	11	16	13	6	0	8	10	8	5	4	4	13	7	6	6	12	3	10	4	3	10	13	13	10	9	5	9	0	4	6	7	7	11	13	19	2	7	3	13	12	11	20	12	1	16	3	12	1	1	0	1	0	0	8	1	0	1	0	3	2	1	12	10	7	6	14	9									
10	Число действительных избирательных бюллетеней	110251	695	435	1618	1674	623	1271	1576	1027	1143	1531	486	704	1286	1179	462	940	1227	1068	1114	1340	1456	710	398	1366	1397	1420	1217	1127	775	1495	1514	1517	1162	1207	866	729	1732	1438	1551	1567	1584	1654	1498	1729	1469	1271	1191	1382	1361	822	230	881	1332	1121	606	412	601	1330	434	912	921	746	766	1468	682	1127	997	1316	1168	1097	528	784	351	471	658	927	1033	932	1060	1257	1403	579	620	574	1423	827	1782	1742	1403	592	1483	672	1154	215	78	86	73	61	122	107	94	97	112	42	408	198	104	1347	921	1320	1420	1675	1365									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
