Выборы Президента Российской Федерации																																																																		
Дата голосования: 18.03.2018																																																																		
																																																																		
Наименование Избирательной комиссии:    Киселевская городская																																																																		
																																																																		
Сводная таблица итогов голосования																																																																		
																																																																		
	Число участковых избирательных комиссий	55																																																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	55																																																																
																																																																		
		Сумма	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430									
1	"Число избирателей, включенных в список избирателей"	74488	1097	528	848	1599	1266	1725	1115	2712	770	2171	1941	2296	1002	300	1069	673	1710	1976	1444	1043	1091	999	1802	1665	1326	432	1806	984	1902	931	1947	1825	1551	284	1678	1824	1261	1407	1638	1713	1534	1729	1201	1598	1270	604	1251	1124	1967	755	1009	1039	933	1628	1495									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	76217	1110	540	900	1630	1178	1622	1037	2810	790	2170	2020	2360	1090	200	1100	670	1910	2040	1490	1060	1120	1000	1850	1710	1370	440	1850	1050	2180	890	2000	1880	1600	280	1790	1820	1310	1450	1710	1672	1400	1770	1220	1660	1450	620	1300	1150	1888	770	1000	1070	880	1850	1490									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	65794	997	481	784	1380	1047	1544	1005	2447	694	1934	1748	2098	924	188	910	508	1512	1831	1388	922	1026	893	1662	1539	1227	340	1585	784	1742	760	1897	1726	1486	241	1498	1761	1202	1362	1522	1659	1075	1085	1030	1398	1085	533	1118	839	1589	614	857	816	740	1448	1313									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3666	20	12	6	76	131	78	32	56	22	135	43	98	18	4	94	130	67	43	38	39	14	47	16	65	15	73	59	111	70	120	32	30	15	39	130	28	23	32	50	13	39	57	110	72	122	16	59	211	299	58	102	92	132	84	89									
6	Число погашенных избирательных бюллетеней	6757	93	47	110	174	0	0	0	307	74	101	229	164	148	8	96	32	331	166	64	99	80	60	172	106	128	27	206	155	368	10	71	124	99	0	162	31	85	56	138	0	286	628	80	190	243	71	123	100	0	98	41	162	8	318	88									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3657	20	12	6	76	130	78	32	56	22	135	43	98	18	4	94	130	67	43	38	39	14	47	16	63	15	73	59	111	70	120	30	30	15	39	130	28	23	32	50	13	39	55	110	72	122	16	59	211	298	58	102	92	131	84	89									
8	Число бюллетеней в стационарных ящиках для голосования	65585	997	481	784	1380	1047	1544	1005	2447	694	1932	1743	2067	924	188	910	508	1512	1826	1344	922	1026	893	1661	1475	1227	340	1585	784	1742	760	1863	1726	1486	241	1498	1761	1202	1362	1522	1659	1073	1074	1030	1398	1085	533	1118	839	1589	614	857	816	730	1448	1313									
9	Число недействительных избирательных бюллетеней	124	0	4	0	2	0	0	1	4	0	2	3	2	0	2	0	0	0	1	0	0	0	0	0	2	0	13	0	0	0	0	0	0	0	0	11	0	0	0	2	2	10	7	30	16	0	0	5	0	0	3	0	0	2	0	0									
10	Число действительных избирательных бюллетеней	69118	1017	489	790	1454	1177	1622	1036	2499	716	2065	1783	2163	942	190	1004	638	1579	1868	1382	961	1040	940	1677	1536	1242	400	1644	895	1812	880	1893	1756	1501	280	1617	1789	1225	1394	1570	1670	1102	1122	1110	1454	1207	549	1172	1050	1887	669	959	908	859	1532	1402									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																		
13	Бабурин Сергей Николаевич	170	3	2	0	1	4	0	16	2	2	4	3	4	2	0	3	2	2	4	7	4	2	0	3	2	0	3	6	0	5	1	1	2	2	2	3	4	3	3	3	5	8	9	4	4	1	0	2	1	8	2	1	1	1	6	7									
		0.25%	0.29%	0.41%	0.00%	0.07%	0.34%	0.00%	1.54%	0.08%	0.28%	0.19%	0.17%	0.18%	0.21%	0.00%	0.30%	0.31%	0.13%	0.21%	0.51%	0.42%	0.19%	0.00%	0.18%	0.13%	0.00%	0.73%	0.36%	0.00%	0.28%	0.11%	0.05%	0.11%	0.13%	0.71%	0.18%	0.22%	0.24%	0.22%	0.19%	0.30%	0.72%	0.80%	0.35%	0.27%	0.08%	0.00%	0.17%	0.10%	0.42%	0.30%	0.10%	0.11%	0.12%	0.39%	0.50%									
14	Грудинин Павел Николаевич	1949	17	27	2	19	9	49	20	45	7	53	29	135	3	33	10	28	37	43	32	24	21	25	35	39	27	9	42	23	17	24	49	51	32	6	39	55	19	7	16	33	197	208	27	22	31	12	24	21	41	13	21	65	15	45	16									
		2.81%	1.67%	5.48%	0.25%	1.30%	0.76%	3.02%	1.93%	1.80%	0.98%	2.56%	1.62%	6.24%	0.32%	17.19%	0.99%	4.39%	2.34%	2.30%	2.32%	2.50%	2.02%	2.66%	2.09%	2.54%	2.17%	2.18%	2.55%	2.57%	0.94%	2.73%	2.59%	2.90%	2.13%	2.14%	2.40%	3.07%	1.55%	0.50%	1.02%	1.97%	17.72%	18.42%	2.37%	1.50%	2.57%	2.19%	2.04%	2.00%	2.17%	1.93%	2.19%	7.16%	1.74%	2.94%	1.14%									
15	Жириновский Владимир Вольфович	2950	46	44	9	89	71	81	36	61	32	62	93	57	9	15	50	32	65	76	53	38	42	40	59	63	53	17	65	36	30	35	69	55	83	11	72	73	51	51	71	62	162	121	53	60	48	22	44	52	74	26	38	27	26	54	86									
