Выборы Президента Российской Федерации																																																																																	
Дата голосования: 18.03.2018																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Северская																																																																																	
																																																																																	
Сводная таблица итогов голосования																																																																																	
																																																																																	
	Число участковых избирательных комиссий	70																																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	70																																																																															
																																																																																	
		Сумма	УИК №4101	УИК №4102	УИК №4103	УИК №4104	УИК №4105	УИК №4106	УИК №4107	УИК №4108	УИК №4109	УИК №4110	УИК №4111	УИК №4112	УИК №4113	УИК №4114	УИК №4115	УИК №4116	УИК №4117	УИК №4118	УИК №4119	УИК №4120	УИК №4121	УИК №4122	УИК №4123	УИК №4124	УИК №4125	УИК №4126	УИК №4127	УИК №4128	УИК №4129	УИК №4130	УИК №4131	УИК №4132	УИК №4133	УИК №4134	УИК №4135	УИК №4136	УИК №4137	УИК №4138	УИК №4139	УИК №4140	УИК №4141	УИК №4142	УИК №4143	УИК №4144	УИК №4145	УИК №4146	УИК №4147	УИК №4148	УИК №4149	УИК №4150	УИК №4151	УИК №4152	УИК №4153	УИК №4154	УИК №4155	УИК №4156	УИК №4157	УИК №4158	УИК №4159	УИК №4160	УИК №4161	УИК №4162	УИК №4163	УИК №4164	УИК №4165	УИК №4166	УИК №4167	УИК №4168	УИК №4169	УИК №4199									
1	"Число избирателей, включенных в список избирателей"	89164	1086	1830	1710	1965	1869	2812	522	1297	1867	1668	324	1658	1300	318	249	1196	636	1792	1455	1330	1616	1475	1833	1475	2017	1202	1165	1133	1227	440	1352	1210	1380	694	568	177	339	1286	266	1981	1985	651	2464	2195	2059	1560	1856	1377	1480	1573	1519	2117	1128	890	1782	1362	1660	1244	610	106	1350	1371	1214	1209	1443	1283	569	248	211	928									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	86863	1085	1800	1735	1900	1800	2760	520	1300	1800	1500	325	1600	1250	330	250	1130	600	1690	1400	1380	1600	1400	1800	1400	1900	1150	1150	1100	1150	440	1300	1170	1400	700	550	175	330	1300	260	1900	1900	640	2400	2200	2088	1500	1700	1300	1400	1500	1500	2100	1100	885	1790	1330	1600	1200	600	105	1350	1350	1140	1200	1400	1290	570	245	225	925									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	58286	862	1428	936	948	1647	2229	488	689	1004	1297	266	1361	1014	269	247	1024	532	1560	662	594	1355	893	1350	835	934	956	565	531	432	329	1086	512	1032	560	441	121	223	1024	219	906	1663	205	2211	1974	954	811	853	740	773	898	817	1377	726	349	1395	824	744	612	477	71	812	807	846	623	759	840	470	203	166	925									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	15965	173	328	168	382	148	386	20	555	107	197	50	210	186	38	0	99	66	110	711	667	182	490	391	302	196	167	102	547	370	103	208	144	287	100	97	49	99	248	37	271	122	171	130	132	248	194	488	93	235	78	125	445	346	295	340	456	641	470	90	27	285	356	270	497	183	143	55	27	32	0									
6	Число погашенных избирательных бюллетеней	12612	50	44	631	570	5	145	12	56	689	6	9	29	50	23	3	7	2	20	27	119	63	17	59	263	770	27	483	22	348	8	6	514	81	40	12	5	8	28	4	723	115	264	59	94	886	495	359	467	392	524	558	278	28	241	55	50	215	118	33	7	253	187	24	80	458	307	45	15	27	0									
7	Число избирательных бюллетеней в переносных ящиках для голосования	15965	173	328	168	382	148	386	20	555	107	197	50	210	186	38	0	99	66	110	711	667	182	490	391	302	196	167	102	547	370	103	208	144	287	100	97	49	99	248	37	271	122	171	130	132	248	194	488	93	235	78	125	445	346	295	340	456	641	470	90	27	285	356	270	497	183	143	55	27	32	0									
8	Число бюллетеней в стационарных ящиках для голосования	58282	862	1428	936	948	1647	2229	488	689	1004	1297	266	1361	1014	269	247	1024	532	1560	662	594	1355	893	1350	835	934	956	565	531	431	329	1086	512	1032	560	441	121	223	1024	219	906	1663	205	2211	1974	954	810	853	740	773	898	817	1375	726	349	1395	824	744	612	477	71	812	807	846	623	759	840	470	203	166	925									
9	Число недействительных избирательных бюллетеней	1097	10	30	10	11	17	24	10	10	25	15	0	15	26	0	0	8	22	8	11	5	14	6	11	16	15	5	10	12	17	2	0	9	13	3	3	0	6	5	0	27	17	2	26	15	15	7	12	14	14	6	15	18	13	5	20	10	10	0	5	0	81	147	31	95	13	11	64	0	0	0									
10	Число действительных избирательных бюллетеней	73150	1025	1726	1094	1319	1778	2591	498	1234	1086	1479	316	1556	1174	307	247	1115	576	1662	1362	1256	1523	1377	1730	1121	1115	1118	657	1066	784	430	1294	647	1306	657	535	170	316	1267	256	1150	1768	374	2315	2091	1187	997	1329	819	994	970	927	1802	1059	639	1715	1270	1375	1082	562	98	1016	1016	1085	1025	929	972	461	230	198	925									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																	
13	Бабурин Сергей Николаевич	373	3	11	5	16	13	14	2	3	12	5	3	11	8	1	0	4	1	6	8	3	10	9	6	7	3	1	0	6	7	0	6	1	2	4	3	1	0	2	0	6	8	1	14	7	11	7	7	10	7	5	5	13	7	1	9	6	10	6	3	0	4	5	6	3	4	3	2	1	0	5									
