Выборы Президента Российской Федерации																																																																	
Дата голосования: 18.03.2018																																																																	
																																																																	
Наименование Избирательной комиссии:    Погарская																																																																	
																																																																	
Сводная таблица итогов голосования																																																																	
																																																																	
	Число участковых избирательных комиссий	54																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	54																																																															
																																																																	
		Сумма	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767									
1	"Число избирателей, включенных в список избирателей"	23314	1715	1761	1430	792	794	408	751	686	243	98	636	325	150	185	231	100	103	524	528	314	676	310	234	288	533	376	490	221	67	131	381	229	75	376	166	576	484	359	115	274	416	261	149	269	539	100	676	517	219	287	419	534	467	326									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24690	1800	1750	1450	850	800	450	790	780	270	100	670	330	140	190	250	100	110	580	540	330	730	340	250	300	590	420	490	220	60	130	400	240	90	400	180	630	520	400	130	300	460	300	150	320	600	110	740	550	220	300	440	540	520	340									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17097	1059	1135	882	519	567	305	439	477	186	84	551	254	112	137	148	50	77	400	422	254	558	246	159	199	418	256	353	161	51	109	319	172	51	324	121	483	422	281	74	248	356	209	112	214	406	59	580	406	170	234	286	439	346	217									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3390	308	248	120	59	41	18	99	93	53	12	63	52	26	32	55	35	17	105	82	54	93	53	65	42	75	88	133	48	9	17	52	48	22	34	40	68	26	41	25	15	49	29	30	48	112	23	32	59	30	41	87	84	117	83									
6	Число погашенных избирательных бюллетеней	4203	433	367	448	272	192	127	252	210	31	4	56	24	2	21	47	15	16	75	36	22	79	41	26	59	97	76	4	11	0	4	29	20	17	42	19	79	72	78	31	37	55	62	8	58	82	28	128	85	20	25	67	17	57	40									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3390	308	248	120	59	41	18	99	93	53	12	63	52	26	32	55	35	17	105	82	54	93	53	65	42	75	88	133	48	9	17	52	48	22	34	40	68	26	41	25	15	49	29	30	48	112	23	32	59	30	41	87	84	117	83									
8	Число бюллетеней в стационарных ящиках для голосования	17096	1059	1135	881	519	567	305	439	477	186	84	551	254	112	137	148	50	77	400	422	254	558	246	159	199	418	256	353	161	51	109	319	172	51	324	121	483	422	281	74	248	356	209	112	214	406	59	580	406	170	234	286	439	346	217									
9	Число недействительных избирательных бюллетеней	219	6	25	8	7	5	5	11	3	11	1	5	2	0	2	4	0	0	14	4	3	5	0	0	0	3	2	12	0	0	0	0	0	0	0	0	8	5	2	0	0	0	2	0	3	3	0	5	5	0	3	4	0	35	6									
10	Число действительных избирательных бюллетеней	20267	1361	1358	993	571	603	318	527	567	228	95	609	304	138	167	199	85	94	491	500	305	646	299	224	241	490	342	474	209	60	126	371	220	73	358	161	543	443	320	99	263	405	236	142	259	515	82	607	460	200	272	369	523	428	294									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
13	Бабурин Сергей Николаевич	134	9	6	9	4	4	5	2	3	0	0	8	1	1	2	3	0	3	5	1	2	5	0	1	0	6	2	1	3	1	1	3	3	0	2	1	1	2	1	1	2	2	3	0	0	6	1	3	1	2	2	1	1	4	4									
