Выборы Президента Российской Федерации																																																																																		
Дата голосования: 18.03.2018																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Кукморская																																																																																		
																																																																																		
Сводная таблица итогов голосования																																																																																		
																																																																																		
	Число участковых избирательных комиссий	71																																																																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	71																																																																																
																																																																																		
		Сумма	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733									
1	"Число избирателей, включенных в список избирателей"	39356	981	1368	1510	1489	1996	1949	2041	1978	944	915	242	132	754	625	379	588	364	616	242	230	356	280	204	222	293	400	262	677	161	406	518	469	697	1056	298	319	403	180	249	339	297	390	221	594	472	637	275	243	361	444	230	585	265	533	502	291	196	405	690	455	292	409	156	473	184	297	510	311	488	658	360									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39386	938	1368	1477	1489	1955	1961	2007	1978	955	916	243	134	759	624	377	589	364	620	247	231	360	280	206	226	297	402	258	677	163	413	524	469	701	1061	301	323	409	181	250	342	298	396	224	600	474	640	275	245	362	445	232	589	266	535	502	292	198	404	695	461	301	413	158	476	186	298	517	318	490	658	363									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31543	710	870	905	1278	1223	1138	1186	1464	866	842	213	115	701	575	343	552	348	543	217	191	321	244	182	192	258	321	229	653	151	360	345	321	634	731	271	293	355	161	221	302	276	349	188	546	424	585	242	215	312	376	191	432	217	440	466	269	178	360	631	379	242	373	133	377	161	258	471	281	449	604	293									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2838	72	78	109	104	77	72	68	33	24	21	20	14	38	37	25	22	9	60	20	35	25	31	18	23	24	62	27	10	7	38	70	96	58	54	26	20	40	17	22	24	14	11	26	38	33	39	24	15	43	54	30	137	44	82	30	17	14	34	50	54	35	28	20	86	19	34	29	24	35	47	62									
6	Число погашенных избирательных бюллетеней	5005	156	420	463	107	655	751	753	481	65	53	10	5	20	12	9	15	7	17	10	5	14	5	6	11	15	19	2	14	5	15	109	52	9	276	4	10	14	3	7	16	8	36	10	16	17	16	9	15	7	15	11	20	5	13	6	6	6	10	14	28	24	12	5	13	6	6	17	13	6	7	8									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2838	72	78	109	104	77	72	68	33	24	21	20	14	38	37	25	22	9	60	20	35	25	31	18	23	24	62	27	10	7	38	70	96	58	54	26	20	40	17	22	24	14	11	26	38	33	39	24	15	43	54	30	137	44	82	30	17	14	34	50	54	35	28	20	86	19	34	29	24	35	47	62									
8	Число бюллетеней в стационарных ящиках для голосования	31529	710	870	903	1267	1223	1137	1186	1464	866	842	213	115	701	575	343	552	348	543	217	191	321	244	182	192	258	321	229	653	151	360	345	321	634	731	271	293	355	161	221	302	276	349	188	546	424	585	242	215	312	376	191	432	217	440	466	269	178	360	631	379	242	373	133	377	161	258	471	281	449	604	293									
9	Число недействительных избирательных бюллетеней	144	5	4	5	5	25	14	20	31	5	0	0	0	0	0	0	0	0	0	1	0	0	3	2	1	0	0	0	0	0	0	3	1	0	5	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0									
10	Число действительных избирательных бюллетеней	34223	777	944	1007	1366	1275	1195	1234	1466	885	863	233	129	739	612	368	574	357	603	236	226	346	272	198	214	282	383	256	663	158	398	412	416	692	780	294	313	395	178	243	326	290	360	214	584	457	619	266	230	355	429	221	568	261	522	495	286	192	393	680	433	277	401	153	463	180	292	499	305	484	651	355									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																		
