Выборы Президента Российской Федерации																																																																																	
Дата голосования: 18.03.2018																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Канашская																																																																																	
																																																																																	
Сводная таблица итогов голосования																																																																																	
																																																																																	
	Число участковых избирательных комиссий	70																																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	70																																																																															
																																																																																	
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770									
1	"Число избирателей, включенных в список избирателей"	24195	752	766	468	100	246	261	410	181	127	166	365	196	89	464	316	207	1880	302	144	523	424	104	92	503	123	148	332	246	112	105	254	155	185	153	197	180	491	215	273	152	147	667	789	187	887	502	334	830	311	259	309	191	619	378	621	234	208	341	212	498	223	587	164	422	222	320	326	354	157	489									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24651	703	746	450	103	250	265	442	181	141	167	380	205	89	483	331	220	1648	299	135	570	437	105	91	502	128	143	330	250	116	101	275	183	180	151	204	190	524	210	291	158	164	669	869	206	915	542	337	895	344	252	255	175	645	371	632	229	208	346	213	541	247	624	163	469	232	349	359	374	161	488									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20444	614	674	421	88	199	222	334	151	118	135	280	172	82	381	289	191	1518	272	121	437	383	93	82	436	109	129	273	216	97	89	218	115	127	140	170	165	416	190	239	133	93	544	599	155	813	427	258	685	252	202	222	161	525	331	519	195	193	316	192	411	192	533	151	356	175	294	310	312	136	373									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1880	60	24	22	7	19	27	45	15	3	16	17	17	6	26	15	16	39	21	13	26	27	6	7	65	2	14	24	13	12	8	28	40	32	7	24	11	56	15	15	14	52	104	95	21	74	37	48	41	17	40	29	13	29	19	75	20	13	24	19	46	11	38	11	25	24	20	9	18	14	40									
6	Число погашенных избирательных бюллетеней	2327	29	48	7	8	32	16	63	15	20	16	83	16	1	76	27	13	91	6	1	107	27	6	2	1	17	0	33	21	7	4	29	28	21	4	10	14	52	5	37	11	19	21	175	30	28	78	31	169	75	10	4	1	91	21	38	14	2	6	2	84	44	53	1	88	33	35	40	44	11	75									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1880	60	24	22	7	19	27	45	15	3	16	17	17	6	26	15	16	39	21	13	26	27	6	7	65	2	14	24	13	12	8	28	40	32	7	24	11	56	15	15	14	52	104	95	21	74	37	48	41	17	40	29	13	29	19	75	20	13	24	19	46	11	38	11	25	24	20	9	18	14	40									
8	Число бюллетеней в стационарных ящиках для голосования	20444	614	674	421	88	199	222	334	151	118	135	280	172	82	381	289	191	1518	272	121	437	383	93	82	436	109	129	273	216	97	89	218	115	127	140	170	165	416	190	239	133	93	544	599	155	813	427	258	685	252	202	222	161	525	331	519	195	193	316	192	411	192	533	151	356	175	294	310	312	136	373									
9	Число недействительных избирательных бюллетеней	304	12	16	6	3	5	2	8	1	2	2	1	1	1	0	0	5	21	5	1	11	3	0	2	4	0	3	3	4	0	1	0	0	2	3	3	4	0	2	2	0	0	3	8	0	18	4	3	12	7	5	8	2	7	4	6	4	1	11	0	6	1	15	1	7	14	4	1	4	3	6									
10	Число действительных избирательных бюллетеней	22020	662	682	437	92	213	247	371	165	119	149	296	188	87	407	304	202	1536	288	133	452	407	99	87	497	111	140	294	225	109	96	246	155	157	144	191	172	472	203	252	147	145	645	686	176	869	460	303	714	262	237	243	172	547	346	588	211	205	329	211	451	202	556	161	374	185	310	318	326	147	407									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																	
13	Бабурин Сергей Николаевич	72	2	2	1	0	2	0	2	0	0	0	1	0	0	4	1	0	4	2	0	1	2	2	0	2	2	1	1	1	0	0	0	1	1	1	2	2	1	0	0	0	1	1	5	0	0	0	0	2	2	0	3	0	1	2	4	0	1	0	0	1	0	1	0	2	1	2	0	0	1	1									
		0.32%	0.30%	0.29%	0.23%	0.00%	0.92%	0.00%	0.53%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.98%	0.33%	0.00%	0.26%	0.68%	0.00%	0.22%	0.49%	2.02%	0.00%	0.40%	1.80%	0.70%	0.34%	0.44%	0.00%	0.00%	0.00%	0.65%	0.63%	0.68%	1.03%	1.14%	0.21%	0.00%	0.00%	0.00%	0.69%	0.15%	0.72%	0.00%	0.00%	0.00%	0.00%	0.28%	0.74%	0.00%	1.20%	0.00%	0.18%	0.57%	0.67%	0.00%	0.49%	0.00%	0.00%	0.22%	0.00%	0.18%	0.00%	0.52%	0.50%	0.64%	0.00%	0.00%	0.67%	0.24%									
