Выборы Президента Российской Федерации																																																																																																																																		
Дата голосования: 18.03.2018																																																																																																																																		
																																																																																																																																		
Наименование Избирательной комиссии:    Гатчинская																																																																																																																																		
																																																																																																																																		
Сводная таблица итогов голосования																																																																																																																																		
																																																																																																																																		
	Число участковых избирательных комиссий	119																																																																																																																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	119																																																																																																																																
																																																																																																																																		
		Сумма	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №969	УИК №970									
1	"Число избирателей, включенных в список избирателей"	159868	1229	743	587	1659	771	588	439	706	554	1036	240	177	2410	2566	1983	2694	2294	999	2739	2414	1466	2049	2202	1807	1814	2173	1673	1898	1912	2145	1844	1933	2057	1230	1582	1742	1402	2067	1601	1957	1825	1787	2309	2198	2416	2543	1238	964	1432	1383	1624	2106	1398	1447	1536	1480	2703	944	737	1636	692	470	843	516	1300	733	812	1084	1509	2414	1300	627	1692	858	361	1404	1200	336	2319	2229	1728	1011	1382	794	790	1601	1004	1134	1034	551	434	406	2088	1815	995	569	1276	1644	749	744	1134	2082	1053	1315	1216	1205	544	463	846	1081	1335	1691	957	671	594	242	618	500	785									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	160980	1250	650	500	1450	600	500	400	700	500	1000	220	200	2350	2500	2200	2600	2300	950	2600	2400	1450	2050	2100	1650	1800	2200	1700	1950	1800	2200	1800	1950	2000	1150	1550	1700	1400	2100	1950	1950	1800	1850	2300	2500	2450	2600	1300	1000	1350	1850	1600	2400	1400	1400	1600	1500	2900	900	850	1650	800	550	800	450	1200	800	800	1100	2150	2300	1500	550	1700	950	350	1400	1200	300	2300	2250	1700	1300	1400	900	800	1750	1000	1100	950	450	350	400	2000	1800	950	500	1300	1700	800	700	1150	2000	1050	1250	1200	1200	430	400	800	1050	1600	1800	850	650	550	230	550	600	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	100146	657	369	295	1064	483	345	237	407	344	558	148	135	1323	1645	1297	1737	1356	783	1818	1797	870	1252	1374	1104	1081	1287	973	1031	1181	1303	1036	1096	898	801	1107	1008	949	1101	1101	1072	1181	1152	1442	1581	1606	1512	703	489	807	1048	1330	1696	769	1280	981	1272	2212	438	439	889	418	286	701	241	783	538	475	648	1110	1311	900	350	1070	541	194	772	962	189	1690	1249	966	709	880	472	648	846	533	580	577	399	261	268	1215	1061	695	326	856	998	518	391	689	1300	568	820	774	752	306	224	556	645	940	1044	543	484	343	195	519	154	413									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	9525	62	139	27	35	35	32	38	52	46	142	18	21	307	30	32	26	47	51	26	17	15	26	41	177	32	19	41	48	31	173	49	99	35	39	93	27	14	61	42	59	25	46	36	37	37	60	158	101	81	18	70	34	30	19	29	11	36	51	102	83	98	53	16	39	24	18	22	60	54	127	74	60	47	48	78	99	22	109	71	217	154	180	61	110	122	340	107	113	65	38	55	57	161	207	187	103	187	230	153	69	105	54	77	58	203	170	78	67	45	104	57	65	158	151	24	32	2	313	359									
6	Число погашенных избирательных бюллетеней	51309	531	142	178	351	82	123	125	241	110	300	54	44	720	825	871	837	897	116	756	586	565	772	685	369	687	894	686	871	588	724	715	755	1067	310	350	665	437	938	807	819	594	652	822	882	807	1028	439	410	462	784	200	670	601	101	590	217	652	411	309	678	284	211	83	170	393	244	303	392	986	862	526	140	583	361	78	529	216	2	539	784	580	411	459	318	30	564	360	407	308	13	34	75	624	532	68	71	257	472	129	240	356	646	405	372	223	278	46	109	199	301	603	691	149	15	183	3	29	133	28									
7	Число избирательных бюллетеней в переносных ящиках для голосования	9525	62	139	27	35	35	32	38	52	46	142	18	21	307	30	32	26	47	51	26	17	15	26	41	177	32	19	41	48	31	173	49	99	35	39	93	27	14	61	42	59	25	46	36	37	37	60	158	101	81	18	70	34	30	19	29	11	36	51	102	83	98	53	16	39	24	18	22	60	54	127	74	60	47	48	78	99	22	109	71	217	154	180	61	110	122	340	107	113	65	38	55	57	161	207	187	103	187	230	153	69	105	54	77	58	203	170	78	67	45	104	57	65	158	151	24	32	2	313	359									
8	Число бюллетеней в стационарных ящиках для голосования	100131	657	369	295	1063	483	345	237	407	344	558	148	135	1323	1645	1297	1737	1356	783	1818	1797	868	1252	1373	1104	1079	1285	973	1031	1181	1303	1036	1096	898	801	1107	1008	949	1100	1101	1072	1181	1152	1442	1581	1603	1512	703	489	807	1046	1330	1696	769	1280	981	1272	2212	438	439	889	418	286	701	241	783	538	475	648	1110	1311	900	350	1070	541	194	772	962	189	1690	1248	966	709	880	472	648	846	533	580	577	399	261	268	1215	1061	695	326	856	998	518	391	689	1300	568	820	774	752	306	224	556	645	940	1044	543	484	343	195	519	154	413									
9	Число недействительных избирательных бюллетеней	1145	11	3	1	6	3	1	1	2	0	8	0	1	10	20	12	22	25	5	19	26	4	14	15	13	9	16	9	17	15	15	8	17	11	7	24	12	6	17	10	12	16	15	17	18	5	17	9	5	10	12	16	14	5	9	18	6	16	4	3	6	2	4	7	4	12	6	6	10	13	10	9	10	9	1	1	12	6	1	10	25	13	7	10	6	7	19	7	4	4	0	4	2	13	4	9	2	4	15	7	3	16	22	3	21	14	8	4	1	5	10	16	8	9	3	2	3	5	6	43									
10	Число действительных избирательных бюллетеней	108511	708	505	321	1092	515	376	274	457	390	692	166	155	1620	1655	1317	1741	1378	829	1825	1788	879	1264	1399	1268	1102	1288	1005	1062	1197	1461	1077	1178	922	833	1176	1023	957	1144	1133	1119	1190	1183	1461	1600	1635	1555	852	585	878	1052	1384	1716	794	1290	992	1277	2232	485	538	966	514	335	710	276	795	550	491	698	1151	1428	965	400	1108	588	271	859	978	297	1751	1440	1107	882	931	576	763	1167	633	689	638	437	312	323	1363	1264	873	427	1039	1213	664	457	778	1332	642	857	963	914	380	290	596	739	981	1101	692	632	365	224	516	461	729									
