Выборы Президента Российской Федерации																																																																																						
Дата голосования: 18.03.2018																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Бахчисарайская																																																																																						
																																																																																						
Сводная таблица итогов голосования																																																																																						
																																																																																						
	Число участковых избирательных комиссий	75																																																																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	75																																																																																				
																																																																																						
		Сумма	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624									
1	"Число избирателей, включенных в список избирателей"	74298	286	1218	1492	1265	1561	1329	1516	1576	1449	1622	851	1685	1478	1900	1876	1316	1744	682	801	1174	474	391	2335	466	1045	935	2088	911	300	813	437	900	395	833	794	710	686	346	2432	1955	1176	953	671	1447	1010	1682	404	343	852	241	238	431	725	1265	1290	1560	722	1243	1297	201	1772	1089	501	1007	920	139	243	1528	734	688	459	531	348	321	200									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	64920	200	1050	1300	1150	1350	1050	1200	1300	1100	1200	750	1500	1300	1700	1600	1150	1400	600	700	1000	450	350	2100	400	900	850	1900	800	300	700	400	800	350	750	700	600	600	300	2200	1700	1000	850	600	1250	900	1500	350	300	750	200	200	400	600	1100	1200	1350	650	1100	1150	250	1600	950	450	900	800	100	200	1350	700	650	470	500	300	300	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	44905	161	715	795	699	1097	414	897	957	766	350	503	1071	715	1298	1283	886	1029	497	589	422	286	235	1365	334	472	517	1588	585	203	429	226	586	286	440	612	549	469	278	1397	1507	826	733	451	986	630	1140	262	259	534	169	168	170	399	713	725	776	433	787	764	190	1030	743	336	608	554	85	158	866	407	392	351	305	158	158	131									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2977	5	28	31	19	29	8	83	72	5	11	58	52	34	85	27	35	207	31	23	22	12	24	94	16	42	44	70	28	14	33	24	48	12	36	30	27	22	19	70	88	43	30	30	82	31	75	15	15	46	16	14	14	20	31	79	71	32	72	50	11	48	43	32	29	47	3	10	62	39	37	100	38	26	9	59									
6	Число погашенных избирательных бюллетеней	17038	34	307	474	432	224	628	220	271	329	839	189	377	551	317	290	229	164	72	88	556	152	91	641	50	386	289	242	187	83	238	150	166	52	274	58	24	109	3	733	105	131	87	119	182	239	285	73	26	170	15	18	216	181	356	396	503	185	241	336	49	522	164	82	263	199	12	32	422	254	221	19	157	116	133	10									
