Выборы Президента Российской Федерации																																																							
Дата голосования: 18.03.2018																																																							
																																																							
Наименование Избирательной комиссии:    Шамильская																																																							
																																																							
Сводная таблица итогов голосования																																																							
																																																							
	Число участковых избирательных комиссий	44																																																					
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	44																																																					
																																																							
		Сумма	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908									
1	"Число избирателей, включенных в список избирателей"	19148	615	885	150	257	190	153	445	392	1131	562	123	177	140	162	185	1044	214	346	340	388	222	60	96	194	1148	253	600	290	76	212	1801	907	201	387	206	958	638	66	1521	89	661	134	424	105									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19395	571	891	145	382	187	156	461	370	1158	581	114	172	140	157	201	1060	215	328	341	429	212	58	96	196	1169	250	608	280	79	198	1784	931	208	398	240	920	655	60	1516	89	675	171	436	107									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17345	557	885	96	253	111	148	410	365	1060	551	99	110	140	131	185	907	199	239	312	386	207	50	92	146	1093	247	556	260	71	193	1450	880	127	349	206	910	634	56	1430	82	526	134	398	104									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	478	0	0	49	4	0	0	8	0	0	0	2	0	0	0	0	75	2	0	0	2	0	0	0	0	0	0	0	12	0	4	271	0	0	1	0	0	4	0	0	0	44	0	0	0									
6	Число погашенных избирательных бюллетеней	1572	14	6	0	125	76	8	43	5	98	30	13	62	0	26	16	78	14	89	29	41	5	8	4	50	76	3	52	8	8	1	63	51	81	48	34	10	17	4	86	7	105	37	38	3									
7	Число избирательных бюллетеней в переносных ящиках для голосования	478	0	0	49	4	0	0	8	0	0	0	2	0	0	0	0	75	2	0	0	2	0	0	0	0	0	0	0	12	0	4	271	0	0	1	0	0	4	0	0	0	44	0	0	0									
8	Число бюллетеней в стационарных ящиках для голосования	17345	557	885	96	253	111	148	410	365	1060	551	99	110	140	131	185	907	199	239	312	386	207	50	92	146	1093	247	556	260	71	193	1450	880	127	349	206	910	634	56	1430	82	526	134	398	104									
9	Число недействительных избирательных бюллетеней	17	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	17806	557	885	145	257	111	148	418	365	1055	550	101	110	140	131	185	982	200	239	312	385	207	50	92	146	1093	247	554	272	71	197	1720	880	126	350	206	910	637	56	1428	82	570	134	398	104									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																							
