Выборы Президента Российской Федерации																																							
Дата голосования: 18.03.2018																																							
																																							
Наименование Избирательной комиссии:    Котовская																																							
																																							
Сводная таблица итогов голосования																																							
																																							
	Число участковых избирательных комиссий	28																																					
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	28																																					
																																							
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328									
1	"Число избирателей, включенных в список избирателей"	25070	2797	2413	2595	2525	2626	2553	2805	441	83	415	95	309	675	189	155	224	44	299	615	544	104	816	97	149	148	659	571	124									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25763	2734	2503	2491	2573	2413	2457	2669	561	103	459	119	369	723	219	167	273	64	343	715	648	172	875	110	172	182	812	688	149									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13642	1460	1325	1431	1533	1469	1332	1256	303	55	234	63	188	301	105	81	139	32	155	356	311	66	420	70	96	101	418	256	86									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1757	101	129	133	213	114	79	92	69	16	39	13	40	69	33	27	26	5	49	108	80	15	56	15	12	15	52	125	32									
6	Число погашенных избирательных бюллетеней	10364	1173	1049	927	827	830	1046	1321	189	32	186	43	141	353	81	59	108	27	139	251	257	91	399	25	64	66	342	307	31									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1757	101	129	133	213	114	79	92	69	16	39	13	40	69	33	27	26	5	49	108	80	15	56	15	12	15	52	125	32									
8	Число бюллетеней в стационарных ящиках для голосования	13633	1460	1325	1431	1524	1469	1332	1256	303	55	234	63	188	301	105	81	139	32	155	356	311	66	420	70	96	101	418	256	86									
9	Число недействительных избирательных бюллетеней	122	6	16	7	7	23	9	14	3	0	8	0	2	4	0	0	0	0	1	3	2	3	5	3	0	1	4	0	1									
10	Число действительных избирательных бюллетеней	15268	1555	1438	1557	1730	1560	1402	1334	369	71	265	76	226	366	138	108	165	37	203	461	389	78	471	82	108	115	466	381	117									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
13	Бабурин Сергей Николаевич	97	14	7	19	13	11	8	9	1	0	1	0	0	2	0	0	1	0	2	1	2	0	0	0	1	2	2	1	0									
		0.63%	0.90%	0.48%	1.21%	0.75%	0.69%	0.57%	0.67%	0.27%	0.00%	0.37%	0.00%	0.00%	0.54%	0.00%	0.00%	0.61%	0.00%	0.98%	0.22%	0.51%	0.00%	0.00%	0.00%	0.93%	1.72%	0.43%	0.26%	0.00%									
14	Грудинин Павел Николаевич	2491	268	285	301	351	303	247	265	45	13	33	5	20	34	12	4	31	7	43	22	41	13	44	9	22	2	51	11	9									
