Выборы Президента Российской Федерации																																																										
Дата голосования: 18.03.2018																																																										
																																																										
Наименование Избирательной комиссии:    Актанышская																																																										
																																																										
Сводная таблица итогов голосования																																																										
																																																										
	Число участковых избирательных комиссий	47																																																								
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	47																																																								
																																																										
		Сумма	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №2831									
1	"Число избирателей, включенных в список избирателей"	22658	1391	2038	1364	752	646	692	191	299	406	315	309	94	92	295	202	189	679	262	183	318	108	869	278	1194	203	378	118	661	698	578	697	123	703	660	597	396	210	494	219	323	210	355	123	286	318	194	948									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22898	1403	2074	1384	762	659	698	192	304	406	318	307	93	95	295	207	192	686	267	186	325	104	899	270	1204	206	379	122	666	707	577	709	125	704	681	594	394	214	503	221	342	211	357	124	288	321	188	935									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20761	1327	1926	1307	726	608	627	175	279	380	307	282	82	77	274	169	181	648	229	173	276	90	783	242	1028	200	355	112	568	602	525	581	115	622	576	561	360	181	424	210	309	201	324	117	253	300	164	905									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1378	36	70	32	20	18	49	13	16	16	5	22	6	14	15	22	5	22	30	6	34	12	59	28	87	3	18	6	80	96	41	88	5	69	82	29	25	22	35	9	8	8	20	3	29	15	24	26									
6	Число погашенных избирательных бюллетеней	759	40	78	45	16	33	22	4	9	10	6	3	5	4	6	16	6	16	8	7	15	2	57	0	89	3	6	4	18	9	11	40	5	13	23	4	9	11	44	2	25	2	13	4	6	6	0	4									
