Выборы Президента Российской Федерации																																																																		
Дата голосования: 18.03.2018																																																																		
																																																																		
Наименование Избирательной комиссии:    Лазовская																																																																		
																																																																		
Сводная таблица итогов голосования																																																																		
																																																																		
	Число участковых избирательных комиссий	55																																																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	55																																																																
																																																																		
		Сумма	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625									
1	"Число избирателей, включенных в список избирателей"	35873	342	401	942	944	1302	1423	1849	1555	1167	1161	842	1010	456	251	598	58	1607	2407	2337	2450	482	489	251	511	115	846	559	605	73	329	70	360	189	390	463	84	582	135	538	638	48	81	275	115	102	230	160	163	438	124	1300	299	638	493	596									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37500	370	450	995	955	1355	1455	1955	1515	1205	1215	915	1035	480	270	615	65	1675	2480	2438	2500	480	540	270	540	135	885	580	630	60	345	75	385	195	420	500	110	645	145	565	685	52	105	285	135	110	250	160	205	450	130	1340	315	635	560	635									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19467	202	259	404	420	625	887	1097	768	562	702	492	546	260	165	346	48	810	1397	975	1310	259	266	149	250	78	428	283	339	56	185	44	188	122	239	238	58	360	89	265	307	40	52	181	53	64	143	92	110	257	104	612	161	423	311	386									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2076	39	20	53	57	78	42	44	86	76	9	102	119	40	6	80	3	58	105	54	29	27	48	16	57	18	55	28	23	4	20	0	18	20	16	34	8	85	9	71	49	4	15	16	6	7	24	10	1	25	3	97	22	55	43	42									
6	Число погашенных избирательных бюллетеней	15957	129	171	538	478	652	526	814	661	567	504	321	370	180	99	189	14	807	978	1409	1161	194	226	105	233	39	402	269	268	0	140	31	179	53	165	228	44	200	47	229	329	8	38	88	76	39	83	58	94	168	23	631	132	157	206	207									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2076	39	20	53	57	78	42	44	86	76	9	102	119	40	6	80	3	58	105	54	29	27	48	16	57	18	55	28	23	4	20	0	18	20	16	34	8	85	9	71	49	4	15	16	6	7	24	10	1	25	3	97	22	55	43	42									
8	Число бюллетеней в стационарных ящиках для голосования	19463	202	259	404	420	623	887	1097	768	562	701	492	545	260	165	346	48	810	1397	975	1310	259	266	149	250	78	428	283	339	56	185	44	188	122	239	238	58	360	89	265	307	40	52	181	53	64	143	92	110	257	104	612	161	423	311	386									
9	Число недействительных избирательных бюллетеней	403	1	3	6	7	11	22	23	22	9	17	7	10	11	3	11	0	16	34	12	29	3	2	3	12	0	10	6	2	0	4	1	4	4	3	6	0	14	0	4	7	0	1	3	0	3	8	1	1	3	2	10	1	8	7	16									
10	Число действительных избирательных бюллетеней	21136	240	276	451	470	690	907	1118	832	629	693	587	654	289	168	415	51	852	1468	1017	1310	283	312	162	295	96	473	305	360	60	201	43	202	138	252	266	66	431	98	332	349	44	66	194	59	68	159	101	110	279	105	699	182	470	347	412									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																		
13	Бабурин Сергей Николаевич	178	0	1	3	8	7	11	7	5	6	12	3	3	2	0	4	0	8	13	6	6	4	1	0	3	0	4	0	5	0	2	2	0	0	3	2	0	7	1	7	3	0	2	3	1	3	3	1	1	1	1	5	3	1	2	2									
		0.83%	0.00%	0.36%	0.66%	1.68%	0.99%	1.18%	0.61%	0.59%	0.94%	1.69%	0.51%	0.45%	0.67%	0.00%	0.94%	0.00%	0.92%	0.87%	0.58%	0.45%	1.40%	0.32%	0.00%	0.98%	0.00%	0.83%	0.00%	1.38%	0.00%	0.98%	4.55%	0.00%	0.00%	1.18%	0.74%	0.00%	1.57%	1.02%	2.08%	0.84%	0.00%	2.99%	1.52%	1.69%	4.23%	1.80%	0.98%	0.90%	0.35%	0.93%	0.71%	1.64%	0.21%	0.56%	0.47%									
14	Грудинин Павел Николаевич	3865	7	24	42	53	119	207	260	198	138	137	120	101	70	39	85	6	223	328	263	341	54	52	21	81	8	72	46	43	10	24	3	45	16	34	53	17	62	25	61	44	12	14	13	6	2	7	29	21	29	17	68	18	39	20	38									
		17.94%	2.90%	8.60%	9.19%	11.11%	16.98%	22.28%	22.79%	23.19%	21.63%	19.30%	20.20%	15.21%	23.33%	22.81%	19.95%	11.76%	25.69%	21.84%	25.56%	25.47%	18.88%	16.56%	12.73%	26.38%	8.33%	14.91%	14.79%	11.88%	16.67%	11.71%	6.82%	21.84%	11.27%	13.33%	19.49%	25.76%	13.93%	25.51%	18.15%	12.36%	27.27%	20.90%	6.60%	10.17%	2.82%	4.19%	28.43%	18.92%	10.28%	15.89%	9.59%	9.84%	8.16%	5.65%	8.88%									
15	Жириновский Владимир Вольфович	2635	17	22	63	46	70	80	126	112	78	113	62	121	33	15	41	6	102	165	147	157	40	51	27	49	11	53	40	55	5	11	2	24	28	34	44	13	43	11	39	34	11	12	36	8	8	13	9	7	52	12	91	18	50	59	59									
		12.23%	7.05%	7.89%	13.79%	9.64%	9.99%	8.61%	11.04%	13.11%	12.23%	15.92%	10.44%	18.22%	11.00%	8.77%	9.62%	11.76%	11.75%	10.99%	14.29%	11.73%	13.99%	16.24%	16.36%	15.96%	11.46%	10.97%	12.86%	15.19%	8.33%	5.37%	4.55%	11.65%	19.72%	13.33%	16.18%	19.70%	9.66%	11.22%	11.61%	9.55%	25.00%	17.91%	18.27%	13.56%	11.27%	7.78%	8.82%	6.31%	18.44%	11.21%	12.83%	9.84%	10.46%	16.67%	13.79%									
