Выборы Президента Российской Федерации																																																																	
Дата голосования: 18.03.2018																																																																	
																																																																	
Наименование Избирательной комиссии:    Ишимская																																																																	
																																																																	
Сводная таблица итогов голосования																																																																	
																																																																	
	Число участковых избирательных комиссий	54																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	54																																																															
																																																																	
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054									
1	"Число избирателей, включенных в список избирателей"	23809	593	220	256	191	335	607	506	386	312	171	184	291	1384	280	80	338	685	687	130	609	199	825	105	529	811	127	592	476	207	562	432	304	724	924	653	87	467	178	167	1471	1445	204	277	674	409	807	118	153	146	460	166	208	439	218									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23921	607	226	257	195	336	608	510	383	314	171	185	296	1395	276	81	342	686	687	132	610	200	829	107	527	820	127	590	468	207	565	432	304	729	928	660	88	477	176	170	1454	1450	205	277	673	411	803	120	153	150	457	168	209	461	229									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	127	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20172	472	183	233	174	294	543	405	315	203	150	169	262	911	256	80	303	602	604	125	541	175	704	91	467	746	120	484	411	184	505	393	285	625	744	587	80	395	155	138	1342	1247	188	254	657	361	504	113	140	124	320	155	184	331	138									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1557	42	17	11	5	26	34	17	50	37	8	6	11	138	10	0	12	53	56	0	38	17	80	11	37	29	2	66	24	10	5	9	6	55	88	40	5	50	15	22	37	28	5	9	13	11	45	3	9	14	120	6	8	34	73									
6	Число погашенных избирательных бюллетеней	2064	93	26	13	16	16	31	28	18	74	13	10	23	346	10	1	27	31	27	7	31	8	45	5	23	44	5	40	33	13	55	30	13	49	74	33	3	32	6	10	75	175	12	14	3	39	254	4	4	12	17	7	17	51	18									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1684	42	17	11	5	26	34	77	50	37	8	6	11	138	10	0	12	53	56	0	38	17	80	11	37	29	2	66	24	10	5	9	6	55	110	40	5	50	15	22	37	28	5	9	13	11	45	3	9	14	120	6	8	79	73									
8	Число бюллетеней в стационарных ящиках для голосования	20171	472	183	233	174	294	543	405	315	203	150	169	262	911	256	80	303	602	604	125	541	175	704	91	467	745	120	484	411	184	505	393	285	625	744	587	80	395	155	138	1342	1247	188	254	657	361	504	113	140	124	320	155	184	331	138									
9	Число недействительных избирательных бюллетеней	30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	2	0									
10	Число действительных избирательных бюллетеней	21825	511	200	244	179	320	577	482	365	240	158	175	273	1049	266	80	315	655	655	125	579	190	784	102	504	774	122	550	435	194	510	402	291	680	850	627	85	443	170	160	1379	1275	193	263	670	372	537	116	149	138	440	161	192	408	211									
11	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
13	Бабурин Сергей Николаевич	35	1	0	0	0	0	1	0	0	2	0	0	0	5	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1	4	11	0	0	0	1	1	0	0	0	0	0	0	0	1									
