Выборы Президента Российской Федерации																																																																																		
Дата голосования: 18.03.2018																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Симферополь, Киевская"																																																																																		
																																																																																		
Сводная таблица итогов голосования																																																																																		
																																																																																		
	Число участковых избирательных комиссий	71																																																																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	71																																																																																
																																																																																		
		Сумма	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391									
1	"Число избирателей, включенных в список избирателей"	122994	994	940	1774	2536	1626	2222	2224	2515	1141	1209	2280	2130	2278	2090	1522	1412	1826	1898	2217	1612	604	2454	1336	1402	2134	1572	1743	2678	2180	1849	1963	2095	1997	2061	2168	2625	2249	2019	2221	2182	1276	1690	1892	2590	3198	2084	2165	1155	2090	1702	1945	1784	2211	1926	1563	2288	1564	1546	1734	1868	2445	2228	2491	166	140	601	51	32	114	438	39									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	106314	815	785	1621	2215	1380	2000	2000	2190	920	1050	1940	1815	2000	1850	1315	1115	1555	1615	1860	1450	626	2060	1090	1300	1850	1270	1525	2350	1795	1480	1700	1730	1750	2450	1900	2280	2100	1755	1820	1780	1100	1475	1680	2150	2650	1810	1810	920	1720	1370	1760	1485	1850	1625	1255	1885	1409	1300	1500	1700	2150	1880	2140	166	140	602	52	32	117	440	39									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	85357	736	706	1234	1762	1261	1417	1574	2023	815	878	1543	1451	1672	1474	1068	960	1301	1327	1462	1003	478	1568	924	951	1365	1117	1253	1998	1149	1122	405	1299	406	1233	1539	2170	1846	1394	1741	1499	822	1357	1423	1908	1946	1413	1398	785	1581	1306	1404	1231	1672	1581	1135	1736	1168	1083	1176	1379	1603	1809	2077	162	115	390	38	24	110	364	37									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3070	12	17	52	48	41	20	78	58	52	16	43	42	29	34	24	22	27	30	52	56	99	60	57	37	76	46	41	57	31	33	13	17	25	10	52	70	56	69	23	64	27	35	32	44	54	71	55	37	33	30	43	41	47	23	40	56	85	62	33	100	28	24	48	0	25	211	13	6	4	74	0									
6	Число погашенных избирательных бюллетеней	17887	67	62	335	405	78	563	348	109	53	156	354	322	299	342	223	133	227	258	346	391	49	432	109	312	409	107	231	295	615	325	1282	414	1319	1207	309	40	198	292	56	217	251	83	225	198	650	326	357	98	106	34	313	213	131	21	80	93	156	155	291	221	519	47	15	4	0	1	1	2	3	2	2									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3070	12	17	52	48	41	20	78	58	52	16	43	42	29	34	24	22	27	30	52	56	99	60	57	37	76	46	41	57	31	33	13	17	25	10	52	70	56	69	23	64	27	35	32	44	54	71	55	37	33	30	43	41	47	23	40	56	85	62	33	100	28	24	48	0	25	211	13	6	4	74	0									
8	Число бюллетеней в стационарных ящиках для голосования	85349	736	706	1234	1758	1261	1417	1574	2023	815	878	1543	1451	1672	1474	1068	960	1301	1327	1462	1003	478	1568	924	951	1365	1117	1253	1998	1149	1122	405	1299	406	1233	1539	2170	1846	1394	1741	1499	822	1357	1423	1908	1946	1413	1398	785	1578	1306	1404	1231	1671	1581	1135	1736	1168	1083	1176	1379	1603	1809	2077	162	115	390	38	24	110	364	37									
9	Число недействительных избирательных бюллетеней	578	11	10	7	8	4	7	16	15	8	13	13	8	13	8	15	8	5	1	9	4	6	11	6	4	7	7	5	11	7	2	9	11	5	12	12	10	8	8	9	6	9	0	7	11	28	6	21	5	11	17	12	3	13	4	3	12	3	7	5	7	14	9	0	2	6	13	0	0	3	7	1									
10	Число действительных избирательных бюллетеней	87841	737	713	1279	1798	1298	1430	1636	2066	859	881	1573	1485	1688	1500	1077	974	1323	1356	1505	1055	571	1617	975	984	1434	1156	1289	2044	1173	1153	409	1305	426	1231	1579	2230	1894	1455	1755	1557	840	1392	1448	1941	1972	1478	1432	817	1600	1319	1435	1269	1705	1600	1172	1780	1250	1138	1204	1472	1617	1824	2125	160	134	588	51	30	111	431	36									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
