Выборы Президента Российской Федерации																																																																																																																																																																								
Дата голосования: 18.03.2018																																																																																																																																																																								
																																																																																																																																																																								
Наименование Избирательной комиссии:    Находкинская городская																																																																																																																																																																								
																																																																																																																																																																								
Сводная таблица итогов голосования																																																																																																																																																																								
																																																																																																																																																																								
	Число участковых избирательных комиссий	157																																																																																																																																																																						
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	157																																																																																																																																																																						
																																																																																																																																																																								
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1980	УИК №1981	УИК №1982	УИК №7101	УИК №7102	УИК №7103	УИК №7104	УИК №7105	УИК №7106	УИК №7107	УИК №7108	УИК №7109	УИК №7110	УИК №7111	УИК №7112	УИК №7113	УИК №7114	УИК №7115	УИК №7116	УИК №7117	УИК №7118	УИК №7119	УИК №7120	УИК №7121	УИК №7122	УИК №7123	УИК №7124	УИК №7125	УИК №7126	УИК №7127	УИК №7128	УИК №7129	УИК №7130	УИК №7131	УИК №7132	УИК №7134	УИК №7135	УИК №7137	УИК №7138	УИК №7139	УИК №7140	УИК №7141	УИК №7143	УИК №7144	УИК №7145	УИК №7146	УИК №7147	УИК №7148	УИК №7149	УИК №7150	УИК №7151	УИК №7152	УИК №7153	УИК №7154	УИК №7155	УИК №7156	УИК №7157	УИК №7158	УИК №7159	УИК №7160	УИК №7161	УИК №7162	УИК №7163	УИК №7164	УИК №7165	УИК №7166	УИК №7167	УИК №7168	УИК №7169	УИК №7170	УИК №7171	УИК №7174	УИК №7175	УИК №7176	УИК №7177	УИК №7178	УИК №7179	УИК №7180	УИК №7181	УИК №7184	УИК №7185	УИК №7186									
1	"Число избирателей, включенных в список избирателей"	120642	376	1031	2404	2584	1010	213	462	1953	2084	1849	1711	1633	889	854	481	1901	1691	1776	1435	1258	2644	2850	2947	2009	1235	1958	1898	1779	1333	1086	1533	1569	1275	1502	1736	1427	1692	1663	1396	2660	2346	1365	1201	1465	1195	1538	1845	1449	1203	1760	1452	1511	1564	1001	1945	1941	1142	1139	1439	1619	1118	1886	1714	2122	1167	1595	1091	2039	2282	1019	1304	1724	1180	1896	1106	128	99	152	97	98	98	93	99	96	97	94	95	85	18	28	21	128	126	96	99	88	28	29	25	25	19	25	29	29	29	28	29	29	161	27	24	23	21	23	23	30	29	19	23	18	20	29	29	29	29	22	20	23	29	30	32	31	31	18	20	20	14	19	14	13	14	12	17	12	16	29	28	18	28	24	29	10	15	21	20	25	22									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	121377	350	1000	2600	2700	1000	200	450	2000	2000	1900	1700	1500	800	750	490	1900	1700	1900	1500	1200	2700	2900	2900	2000	1200	1900	1900	1800	1400	1100	1500	1500	1300	1600	1500	1400	1700	1700	1400	2800	2400	1400	1200	1500	1100	1500	1800	1500	1200	1800	1400	1600	1700	1000	2100	2000	1100	1200	1500	1600	1200	1900	1800	2200	1200	1600	1100	2000	2300	1100	1200	1600	1100	2000	1100	128	101	152	97	98	100	93	99	96	97	94	95	85	20	28	21	128	126	96	99	88	28	29	25	25	21	25	29	29	29	28	29	29	161	27	24	23	23	25	25	30	31	21	25	20	22	29	29	29	29	22	20	23	29	32	34	33	33	18	20	20	14	19	14	15	16	14	19	14	16	29	28	21	28	24	29	10	15	21	20	25	22									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	72769	282	652	1622	1805	652	102	344	1343	1421	1258	1123	1018	609	466	473	1132	1025	982	739	624	1447	1731	1819	1047	769	794	923	964	795	666	968	961	751	920	984	755	1031	977	855	1405	1246	688	703	725	715	839	950	1327	701	811	839	952	946	545	1238	1048	603	568	732	1074	766	1083	968	1239	688	1044	585	1251	1345	657	801	1053	681	1135	665	121	99	0	97	98	98	93	99	96	97	94	95	85	18	28	21	128	126	92	99	88	28	29	25	25	19	25	29	29	29	28	29	28	161	27	24	23	21	23	23	30	28	19	23	18	20	29	29	29	29	22	20	23	29	30	32	31	31	18	19	20	14	19	14	13	14	12	16	12	15	29	28	18	28	24	29	10	15	21	20	25	22									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2822	23	33	189	44	64	31	18	18	21	138	101	25	8	4	8	17	22	40	22	25	43	36	10	38	15	95	25	28	33	11	29	26	39	59	49	20	16	20	12	68	24	63	35	25	32	44	64	14	27	32	49	47	45	4	27	25	15	17	23	44	11	62	16	20	23	35	63	42	52	17	26	29	15	48	32	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	45786	45	315	789	851	284	67	88	639	558	504	476	457	183	280	9	751	653	878	739	551	1210	1133	1071	915	416	1011	952	808	572	423	503	513	510	621	467	625	653	703	533	1327	1130	649	462	750	353	617	786	159	472	957	512	601	709	451	835	927	482	615	745	482	423	755	816	941	489	521	452	707	903	426	373	518	404	817	403	7	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	2	2	0	3	2	2	2	2	0	0	0	0	0	0	0	0	2	2	2	2	0	1	0	0	0	0	2	2	2	3	2	1	0	0	3	0	0	0	0	0	0	0	0	0									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2822	23	33	189	44	64	31	18	18	21	138	101	25	8	4	8	17	22	40	22	25	43	36	10	38	15	95	25	28	33	11	29	26	39	59	49	20	16	20	12	68	24	63	35	25	32	44	64	14	27	32	49	47	45	4	27	25	15	17	23	44	11	62	16	20	23	35	63	42	52	17	26	29	15	48	32	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	Число бюллетеней в стационарных ящиках для голосования	72651	282	650	1622	1805	652	102	344	1343	1421	1258	1123	1018	609	466	473	1132	1025	982	739	624	1447	1731	1819	1047	769	794	923	964	795	666	968	961	751	920	984	754	1031	977	855	1405	1243	688	703	724	715	839	942	1327	700	810	839	952	946	545	1238	1048	603	567	732	1074	765	1042	968	1239	686	1044	583	1251	1293	657	801	1053	681	1133	665	121	99	0	97	98	98	93	99	96	97	94	95	85	18	28	21	128	126	92	99	88	28	29	25	25	19	25	29	29	29	28	29	28	161	27	24	23	21	23	23	30	28	19	23	18	20	29	29	29	29	22	20	23	29	30	32	31	31	18	19	20	14	19	14	13	14	12	16	12	15	29	28	18	28	24	29	10	15	21	20	25	22									
9	Число недействительных избирательных бюллетеней	1180	2	10	29	33	10	1	3	43	24	32	20	24	5	14	12	21	8	21	11	11	32	35	27	15	8	15	13	28	13	7	20	10	10	11	18	14	14	11	11	16	28	15	10	14	10	17	14	16	15	7	5	12	13	11	18	20	15	8	12	14	11	21	15	23	6	17	4	17	17	15	9	26	10	19	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	74293	303	673	1782	1816	706	132	359	1318	1418	1364	1204	1019	612	456	469	1128	1039	1001	750	638	1458	1732	1802	1070	776	874	935	964	815	670	977	977	780	968	1015	760	1033	986	856	1457	1239	736	728	735	737	866	992	1325	712	835	883	987	978	538	1247	1053	603	576	743	1104	765	1083	969	1236	703	1062	642	1276	1328	659	818	1056	686	1162	689	118	99	152	97	98	98	93	99	96	97	94	95	85	18	28	21	121	126	91	99	88	28	29	25	24	19	25	29	28	29	28	29	28	157	26	24	23	21	23	23	30	28	19	23	18	20	29	29	29	29	22	20	23	27	30	32	31	31	16	19	19	14	19	13	13	14	12	15	12	15	29	28	18	27	24	29	10	15	21	20	25	22									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																																																																								
