Выборы Президента Российской Федерации																																																																													
Дата голосования: 18.03.2018																																																																													
																																																																													
Наименование Избирательной комиссии:    Александровская																																																																													
																																																																													
Сводная таблица итогов голосования																																																																													
																																																																													
	Число участковых избирательных комиссий	66																																																																											
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	66																																																																											
																																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66									
1	"Число избирателей, включенных в список избирателей"	90259	2357	897	1077	1041	1990	847	2395	745	2494	2613	2581	2338	560	2417	2540	2404	1429	1415	2191	2363	2123	2269	1948	2314	1501	1866	1353	1948	334	633	844	1098	360	769	369	439	204	210	382	420	184	528	319	466	851	573	429	630	467	280	926	1520	2213	1461	1408	2471	2246	2506	1554	2228	1534	2261	1616	924	1272	1314									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	85430	2250	800	750	950	1900	800	2300	650	2350	2550	2450	2250	550	2300	2450	2300	1350	1350	2100	2250	2050	2150	1850	2250	1450	1800	1300	1900	300	600	800	900	300	750	300	350	180	200	350	450	150	500	300	450	850	500	400	600	400	200	750	1500	2150	1400	1400	2300	2200	2350	1500	2100	1500	2100	1550	900	1200	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	48425	1366	512	472	628	1073	474	1335	417	1572	1566	1573	1279	390	1359	1457	1394	803	827	1335	1310	1215	1403	1097	1151	799	980	791	1201	124	216	380	568	115	287	184	281	112	93	228	244	107	284	180	205	485	256	93	343	130	133	457	614	1132	663	652	1224	1211	1149	796	1111	708	1124	688	543	789	737									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3688	48	18	228	35	38	23	38	14	17	41	39	30	1	44	49	51	10	46	56	44	34	47	30	41	65	38	28	45	56	110	134	63	67	187	43	27	35	39	43	39	14	27	41	83	60	93	136	49	125	27	134	49	75	38	54	124	65	85	34	132	43	59	29	16	17	38									
6	Число погашенных избирательных бюллетеней	33317	836	270	50	287	789	303	927	219	761	943	838	941	159	897	944	855	537	477	709	896	801	700	723	1058	586	782	481	654	120	274	286	269	118	276	73	42	33	68	79	167	29	189	79	162	305	151	171	208	145	40	159	837	943	699	694	952	924	1116	670	857	749	917	833	341	394	525									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3688	48	18	228	35	38	23	38	14	17	41	39	30	1	44	49	51	10	46	56	44	34	47	30	41	65	38	28	45	56	110	134	63	67	187	43	27	35	39	43	39	14	27	41	83	60	93	136	49	125	27	134	49	75	38	54	124	65	85	34	132	43	59	29	16	17	38									
8	Число бюллетеней в стационарных ящиках для голосования	48421	1366	512	472	628	1073	474	1335	417	1570	1566	1573	1278	390	1359	1457	1394	803	827	1335	1310	1214	1403	1097	1151	799	980	791	1201	124	216	380	568	115	287	184	281	112	93	228	244	107	284	180	205	485	256	93	343	130	133	457	614	1132	663	652	1224	1211	1149	796	1111	708	1124	688	543	789	737									
9	Число недействительных избирательных бюллетеней	721	17	5	10	7	9	9	30	10	27	23	30	15	7	17	26	18	14	10	21	16	14	15	14	10	9	14	12	20	3	3	8	11	5	3	3	4	0	2	0	1	1	5	2	2	9	9	0	3	0	0	6	19	21	19	10	18	22	14	17	9	7	21	11	4	11	9									
10	Число действительных избирательных бюллетеней	51388	1397	525	690	656	1102	488	1343	421	1560	1584	1582	1293	384	1386	1480	1427	799	863	1370	1338	1234	1435	1113	1182	855	1004	807	1226	177	323	506	620	177	471	224	304	147	130	271	282	120	306	219	286	536	340	229	389	255	160	585	644	1186	682	696	1330	1254	1220	813	1234	744	1162	706	555	795	766									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
