Выборы Президента Российской Федерации																																																																					
Дата голосования: 18.03.2018																																																																					
																																																																					
Наименование Избирательной комиссии:    Ленинск-Кузнецкая городская																																																																					
																																																																					
Сводная таблица итогов голосования																																																																					
																																																																					
	Число участковых избирательных комиссий	58																																																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	58																																																																			
																																																																					
		Сумма	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495									
1	"Число избирателей, включенных в список избирателей"	77269	2302	2140	2460	1269	400	2330	1406	1240	1563	267	1358	2540	2701	964	1061	1057	1814	816	1184	1996	1431	1561	887	984	955	1454	1560	1662	1399	995	743	1297	1457	240	993	1430	806	979	510	998	680	885	1742	249	2275	2047	1410	1215	1637	108	1468	1485	1254	1617	1556	1846	1205	1381									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74640	2240	2070	2300	1200	550	2340	1370	1230	1500	255	1320	2400	2620	940	1010	1050	1750	810	1140	1940	1355	1500	840	970	900	1400	1430	1600	1380	960	700	1240	1390	300	940	1380	780	950	480	960	640	840	1680	240	2200	1950	1340	1170	1600	150	1390	1430	1210	1550	1500	1770	1150	1340									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	60294	1899	1838	2097	1011	400	2010	1190	885	961	187	1174	2055	2302	730	896	771	1526	678	935	1516	1198	1378	698	817	630	1256	1022	1361	1167	555	397	1032	1135	240	754	1205	487	717	223	702	585	773	1450	171	1862	1476	1159	870	835	108	1081	1120	779	1369	1074	1545	866	1136									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	8484	156	102	97	110	0	37	59	206	353	55	65	231	125	96	23	179	110	40	102	202	81	70	93	63	242	62	306	118	84	324	289	122	164	0	145	114	257	175	111	192	41	41	73	44	154	295	91	200	607	0	177	171	293	72	312	124	263	166									
6	Число погашенных избирательных бюллетеней	5862	185	130	106	79	150	293	121	139	186	13	81	114	193	114	91	100	114	92	103	222	76	52	49	90	28	82	102	121	129	81	14	86	91	60	41	61	36	58	146	66	14	26	157	25	184	179	90	100	158	42	132	139	138	109	114	101	21	38									
7	Число избирательных бюллетеней в переносных ящиках для голосования	8484	156	102	97	110	0	37	59	206	353	55	65	231	125	96	23	179	110	40	102	202	81	70	93	63	242	62	306	118	84	324	289	122	164	0	145	114	257	175	111	192	41	41	73	44	154	295	91	200	607	0	177	171	293	72	312	124	263	166									
8	Число бюллетеней в стационарных ящиках для голосования	60271	1899	1838	2097	1011	400	2010	1190	885	961	187	1174	2055	2302	730	896	771	1526	678	935	1516	1198	1355	698	817	630	1256	1022	1361	1167	555	397	1032	1135	240	754	1205	487	717	223	702	585	773	1450	171	1862	1476	1159	870	835	108	1081	1120	779	1369	1074	1545	866	1136									
9	Число недействительных избирательных бюллетеней	276	2	2	0	10	0	24	16	5	0	0	0	0	0	9	0	0	6	0	4	0	7	5	6	0	0	0	0	0	12	0	0	0	0	1	2	11	6	0	3	29	0	3	15	0	0	9	0	0	0	0	36	39	5	0	0	9	0	0									
10	Число действительных избирательных бюллетеней	68479	2053	1938	2194	1111	400	2023	1233	1086	1314	242	1239	2286	2427	817	919	950	1630	718	1033	1718	1272	1420	785	880	872	1318	1328	1479	1239	879	686	1154	1299	239	897	1308	738	892	331	865	626	811	1508	215	2016	1762	1250	1070	1442	108	1222	1252	1067	1441	1386	1660	1129	1302									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																					
13	Бабурин Сергей Николаевич	306	6	5	9	6	0	7	4	3	4	1	7	5	10	5	5	5	5	3	5	21	5	9	4	5	4	5	4	3	6	5	2	3	7	0	8	5	4	4	3	13	2	5	6	0	6	12	7	3	5	0	7	8	7	9	4	0	2	8									
