Выборы Президента Российской Федерации																																																							
Дата голосования: 18.03.2018																																																							
																																																							
Наименование Избирательной комиссии:    Нурлатская																																																							
																																																							
Сводная таблица итогов голосования																																																							
																																																							
	Число участковых избирательных комиссий	44																																																					
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	44																																																					
																																																							
		Сумма	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382									
1	"Число избирателей, включенных в список избирателей"	16944	792	186	196	277	328	127	325	153	314	429	366	210	364	273	294	566	232	602	253	98	408	333	680	529	601	376	857	523	730	423	843	810	435	356	233	148	102	426	551	335	112	191	393	164									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17337	824	192	200	285	342	129	336	152	313	453	370	221	365	273	308	571	235	613	270	107	409	348	689	545	605	374	864	527	745	425	876	826	451	388	238	147	99	446	553	357	112	195	394	165									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16046	741	183	185	264	300	124	308	143	304	398	347	196	340	256	275	541	220	581	240	90	389	314	655	509	568	310	832	502	693	393	780	785	411	339	216	138	92	399	540	313	101	189	386	156									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	618	43	1	5	10	18	0	12	8	7	23	15	12	20	9	16	19	10	15	11	6	14	16	18	15	27	13	16	16	22	22	46	16	17	13	15	9	7	18	5	18	6	0	3	6									
6	Число погашенных избирательных бюллетеней	673	40	8	10	11	24	5	16	1	2	32	8	13	5	8	17	11	5	17	19	11	6	18	16	21	10	51	16	9	30	10	50	25	23	36	7	0	0	29	8	26	5	6	5	3									
7	Число избирательных бюллетеней в переносных ящиках для голосования	618	43	1	5	10	18	0	12	8	7	23	15	12	20	9	16	19	10	15	11	6	14	16	18	15	27	13	16	16	22	22	46	16	17	13	15	9	7	18	5	18	6	0	3	6									
8	Число бюллетеней в стационарных ящиках для голосования	16046	741	183	185	264	300	124	308	143	304	398	347	196	340	256	275	541	220	581	240	90	389	314	655	509	568	310	832	502	693	393	780	785	411	339	216	138	92	399	540	313	101	189	386	156									
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	16664	784	184	190	274	318	124	320	151	311	421	362	208	360	265	291	560	230	596	251	96	403	330	673	524	595	323	848	518	715	415	826	801	428	352	231	147	99	417	545	331	107	189	389	162									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																							
