Выборы Президента Российской Федерации																																																								
Дата голосования: 18.03.2018																																																								
																																																								
Наименование Избирательной комиссии:    Черлакская 																																																								
																																																								
Сводная таблица итогов голосования																																																								
																																																								
	Число участковых избирательных комиссий	45																																																						
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	45																																																						
																																																								
		Сумма	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884									
1	"Число избирателей, включенных в список избирателей"	22341	206	1572	1369	1406	2403	1918	1511	223	161	931	176	105	237	2071	201	244	168	146	904	156	111	63	107	66	142	34	37	695	109	77	1142	416	249	168	186	179	945	95	58	126	109	106	626	216	171									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21962	210	1585	1290	1410	2405	1915	1485	205	154	914	164	105	225	2045	205	220	160	133	890	148	90	58	105	60	134	35	38	675	105	74	1140	424	254	168	192	184	900	90	57	130	110	105	608	186	172									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12753	126	814	616	749	1279	1053	862	147	107	536	100	78	131	1196	111	142	104	86	488	100	58	48	97	57	94	28	31	485	63	53	732	213	166	87	108	97	571	51	38	72	70	62	410	126	111									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1005	9	54	83	80	65	60	97	14	1	38	10	6	9	106	9	16	6	9	50	4	2	2	8	3	9	0	0	27	4	3	28	13	6	7	4	4	53	7	0	3	8	0	37	36	15									
6	Число погашенных избирательных бюллетеней	8204	75	717	591	581	1061	802	526	44	46	340	54	21	85	743	85	62	50	38	352	44	30	8	0	0	31	7	7	163	38	18	380	198	82	74	80	83	276	32	19	55	32	43	161	24	46									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1005	9	54	83	80	65	60	97	14	1	38	10	6	9	106	9	16	6	9	50	4	2	2	8	3	9	0	0	27	4	3	28	13	6	7	4	4	53	7	0	3	8	0	37	36	15									
8	Число бюллетеней в стационарных ящиках для голосования	12752	126	814	616	749	1279	1053	862	147	107	536	100	78	131	1195	111	142	104	86	488	100	58	48	97	57	94	28	31	485	63	53	732	213	166	87	108	97	571	51	38	72	70	62	410	126	111									
9	Число недействительных избирательных бюллетеней	193	3	10	9	14	19	22	8	0	3	13	1	0	0	13	1	2	1	0	6	1	0	2	0	0	1	3	0	9	2	0	5	2	3	1	0	4	11	2	0	2	1	1	10	8	0									
10	Число действительных избирательных бюллетеней	13564	132	858	690	815	1325	1091	951	161	105	561	109	84	140	1288	119	156	109	95	532	103	60	48	105	60	102	25	31	503	65	56	755	224	169	93	112	97	613	56	38	73	77	61	437	154	126									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
13	Бабурин Сергей Николаевич	97	3	8	2	7	17	5	7	0	0	5	0	0	0	5	2	0	2	0	6	0	1	0	2	0	0	1	0	3	0	0	3	1	0	1	0	1	5	1	0	0	0	1	5	3	0									
		0.71%	2.22%	0.92%	0.29%	0.84%	1.26%	0.45%	0.73%	0.00%	0.00%	0.87%	0.00%	0.00%	0.00%	0.38%	1.67%	0.00%	1.82%	0.00%	1.12%	0.00%	1.67%	0.00%	1.90%	0.00%	0.00%	3.57%	0.00%	0.59%	0.00%	0.00%	0.39%	0.44%	0.00%	1.06%	0.00%	0.99%	0.80%	1.72%	0.00%	0.00%	0.00%	1.61%	1.12%	1.85%	0.00%									
14	Грудинин Павел Николаевич	2564	34	189	150	172	273	245	137	25	4	102	6	7	13	329	14	19	16	10	69	10	10	5	20	11	22	3	5	133	7	12	182	60	16	13	4	24	95	12	3	21	2	10	53	10	7									
		18.64%	25.19%	21.77%	21.46%	20.75%	20.31%	22.01%	14.29%	15.53%	3.70%	17.77%	5.45%	8.33%	9.29%	25.29%	11.67%	12.03%	14.55%	10.53%	12.83%	9.62%	16.67%	10.00%	19.05%	18.33%	21.36%	10.71%	16.13%	25.98%	10.45%	21.43%	23.95%	26.55%	9.30%	13.83%	3.57%	23.76%	15.22%	20.69%	7.89%	28.00%	2.56%	16.13%	11.86%	6.17%	5.56%									
