Выборы Президента Российской Федерации																																																																						
Дата голосования: 18.03.2018																																																																						
																																																																						
Наименование Избирательной комиссии:    Заводоуковская																																																																						
																																																																						
Сводная таблица итогов голосования																																																																						
																																																																						
	Число участковых избирательных комиссий	59																																																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	59																																																																				
																																																																						
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861									
1	"Число избирателей, включенных в список избирателей"	37337	884	1035	1042	762	1658	1652	1219	1299	900	2905	1904	638	1117	1395	237	1288	1088	432	205	344	222	277	405	199	776	336	107	511	775	539	434	792	118	543	480	109	541	86	454	1238	497	994	221	240	209	153	397	225	728	94	209	91	150	610	575	221	414	171	192									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35198	820	990	990	720	1570	1450	1150	1250	850	2500	1700	580	1000	1270	230	1150	1050	450	207	350	224	275	400	200	750	320	106	500	700	500	400	750	120	540	480	110	550	87	450	1200	480	950	223	240	211	159	360	245	740	95	195	92	153	570	550	220	400	184	192									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28156	630	691	729	694	1251	999	822	946	723	1916	1203	549	748	1209	207	878	725	360	173	229	162	234	317	137	709	290	101	445	539	447	331	663	110	457	435	102	413	77	383	758	382	816	199	225	151	151	326	185	651	93	170	85	127	486	450	185	353	137	192									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1988	57	116	90	15	36	81	71	43	22	44	85	29	35	44	11	46	38	30	16	15	8	11	13	6	26	15	5	22	18	16	14	18	5	45	21	5	42	6	53	394	10	70	16	5	2	0	28	22	23	1	7	3	15	17	50	10	25	17	0									
6	Число погашенных избирательных бюллетеней	5054	133	183	171	11	283	370	257	261	105	540	412	2	217	17	12	226	287	60	18	106	54	30	70	57	15	15	0	33	143	37	55	69	5	38	24	3	95	4	14	48	88	64	8	10	58	8	6	38	66	1	18	4	11	67	50	25	22	30	0									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1988	57	116	90	15	36	81	71	43	22	44	85	29	35	44	11	46	38	30	16	15	8	11	13	6	26	15	5	22	18	16	14	18	5	45	21	5	42	6	53	394	10	70	16	5	2	0	28	22	23	1	7	3	15	17	50	10	25	17	0									
