Выборы Президента Российской Федерации																																																																							
Дата голосования: 18.03.2018																																																																							
																																																																							
Наименование Избирательной комиссии:    Белогорская																																																																							
																																																																							
Сводная таблица итогов голосования																																																																							
																																																																							
	Число участковых избирательных комиссий	60																																																																					
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	60																																																																					
																																																																							
		Сумма	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687									
1	"Число избирателей, включенных в список избирателей"	48425	1397	1428	1357	1205	1295	1229	1063	1524	1149	1546	1604	580	348	679	272	983	242	644	291	1107	384	1354	602	755	190	1330	482	1978	549	1365	196	492	262	246	1288	922	445	195	218	166	882	184	982	399	1650	638	465	1333	1313	1480	1419	1196	698	698	289	633	263	182	250	109									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	41480	1210	1200	1140	980	1110	1180	890	1280	1000	1190	1370	500	290	560	230	850	220	560	290	940	310	1160	510	640	170	1120	400	1690	450	1180	190	410	250	240	1100	800	370	180	190	160	770	170	850	350	1410	530	400	1120	1110	1230	1190	990	570	580	280	540	250	180	350	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28291	818	863	867	829	809	845	506	644	797	416	1047	398	216	346	196	658	201	419	190	626	175	867	431	478	125	960	319	958	233	778	104	267	145	149	647	626	311	141	146	109	518	130	619	199	1064	360	256	788	593	980	763	562	459	343	123	425	154	122	147	26									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2350	50	39	36	47	43	36	111	32	25	17	53	21	21	25	9	81	18	37	13	50	31	95	44	52	8	60	35	81	27	72	16	30	11	3	53	45	23	2	11	2	35	5	46	19	86	30	28	58	68	39	60	49	67	69	5	40	8	12	92	69									
6	Число погашенных избирательных бюллетеней	10839	342	298	237	104	258	299	273	604	178	757	270	81	53	189	25	111	1	104	87	264	104	198	35	110	37	100	46	651	190	330	70	113	94	88	400	129	36	37	33	49	217	35	185	132	260	140	116	274	449	211	367	379	44	168	152	75	88	46	111	5									
