Выборы Президента Российской Федерации																																																																																																	
Дата голосования: 18.03.2018																																																																																																	
																																																																																																	
Наименование Избирательной комиссии:    Неклиновская																																																																																																	
																																																																																																	
Сводная таблица итогов голосования																																																																																																	
																																																																																																	
	Число участковых избирательных комиссий	86																																																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	86																																																																																															
																																																																																																	
		Сумма	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №2381	УИК №2620									
1	"Число избирателей, включенных в список избирателей"	68180	190	427	933	850	656	630	226	674	1240	1712	1400	644	161	347	60	124	292	290	1135	245	728	432	1263	148	187	652	1124	1026	1623	968	1142	2513	2805	777	529	364	762	690	711	260	317	282	620	265	528	901	2452	2779	2385	2434	1703	607	1126	381	1165	539	1700	1305	678	395	490	1075	778	119	476	800	1367	1530	245	241	692	149	152	108	173	363	1679	1147	1668	126	150	155	590	124	88	193									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	62482	170	390	830	780	655	580	210	610	1110	1550	1300	600	140	320	60	110	250	250	1050	200	650	400	1100	130	160	600	1050	900	1500	880	1020	2300	2450	700	450	350	680	620	650	230	300	260	560	230	450	820	2300	2500	2200	2260	1550	520	1100	370	1000	500	1700	1300	660	320	450	1000	700	110	450	700	1250	1400	200	210	600	130	150	100	150	330	1650	1150	1550	110	130	150	550	110	87	180									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	44562	136	345	706	670	633	485	161	481	659	985	776	441	131	232	40	98	214	207	806	151	491	317	824	104	127	457	786	613	1149	634	784	1765	1887	522	278	194	568	460	610	147	231	196	445	181	350	620	1491	1776	1441	1508	1184	411	694	307	829	441	1045	761	630	236	358	632	496	86	258	600	598	756	119	140	462	115	122	87	122	281	971	645	990	65	118	66	326	84	87	127									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3340	17	23	80	90	22	60	33	61	69	39	43	76	6	26	5	7	30	35	55	26	75	20	92	12	14	43	14	34	71	27	43	80	88	28	44	20	43	23	40	18	14	25	35	16	28	53	94	153	50	45	47	32	41	21	110	8	63	45	6	6	27	50	51	14	23	49	42	41	9	26	85	13	22	4	18	22	53	126	86	19	4	13	11	0	0	8									
6	Число погашенных избирательных бюллетеней	14580	17	22	44	20	0	35	16	68	382	526	481	83	3	62	15	5	6	8	189	23	84	63	184	14	19	100	250	253	280	219	193	455	475	150	128	136	69	137	0	65	55	39	80	33	72	147	715	571	709	707	319	77	365	42	61	51	592	494	24	78	65	318	153	10	169	51	610	603	72	44	53	2	6	9	10	27	626	379	474	26	8	71	213	26	0	45									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3340	17	23	80	90	22	60	33	61	69	39	43	76	6	26	5	7	30	35	55	26	75	20	92	12	14	43	14	34	71	27	43	80	88	28	44	20	43	23	40	18	14	25	35	16	28	53	94	153	50	45	47	32	41	21	110	8	63	45	6	6	27	50	51	14	23	49	42	41	9	26	85	13	22	4	18	22	53	126	86	19	4	13	11	0	0	8									
8	Число бюллетеней в стационарных ящиках для голосования	44561	136	345	706	670	633	485	161	481	659	985	776	441	131	232	40	98	214	207	806	151	491	317	824	104	127	457	786	613	1149	634	784	1765	1887	522	278	194	568	460	610	147	231	196	445	181	350	620	1491	1776	1440	1508	1184	411	694	307	829	441	1045	761	630	236	358	632	496	86	258	600	598	756	119	140	462	115	122	87	122	281	971	645	990	65	118	66	326	84	87	127									
9	Число недействительных избирательных бюллетеней	349	1	2	1	11	0	0	0	7	6	7	5	2	2	1	0	1	0	0	8	0	0	0	6	2	1	3	10	5	10	0	5	19	10	9	4	2	4	7	0	0	7	3	0	0	5	1	19	21	14	9	8	4	0	0	7	0	6	12	4	2	3	2	2	1	5	0	8	5	3	1	8	0	0	0	0	4	9	7	7	0	2	1	5	1	2	0									
10	Число действительных избирательных бюллетеней	47552	152	366	785	749	655	545	194	535	722	1017	814	515	135	257	45	104	244	242	853	177	566	337	910	114	140	497	790	642	1210	661	822	1826	1965	541	318	212	607	476	650	165	238	218	480	197	373	672	1566	1908	1476	1544	1223	439	735	328	932	449	1102	794	632	240	382	680	545	99	276	649	632	792	125	165	539	128	144	91	140	299	1015	764	1069	84	120	78	332	83	85	135									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																	
13	Бабурин Сергей Николаевич	249	1	0	3	3	1	3	0	2	6	6	3	2	0	1	0	0	1	2	1	0	2	0	2	0	1	4	2	3	19	3	5	17	14	0	1	0	1	0	3	2	1	2	0	0	3	1	7	9	4	6	13	1	1	0	4	0	6	8	0	0	1	1	3	0	2	16	3	10	0	1	3	1	1	1	2	1	7	1	8	0	1	1	5	0	0	0									
		0.52%	0.65%	0.00%	0.38%	0.39%	0.15%	0.55%	0.00%	0.37%	0.82%	0.59%	0.37%	0.39%	0.00%	0.39%	0.00%	0.00%	0.41%	0.83%	0.12%	0.00%	0.35%	0.00%	0.22%	0.00%	0.71%	0.80%	0.25%	0.46%	1.56%	0.45%	0.60%	0.92%	0.71%	0.00%	0.31%	0.00%	0.16%	0.00%	0.46%	1.21%	0.41%	0.90%	0.00%	0.00%	0.79%	0.15%	0.44%	0.47%	0.27%	0.39%	1.06%	0.23%	0.14%	0.00%	0.43%	0.00%	0.54%	0.99%	0.00%	0.00%	0.26%	0.15%	0.55%	0.00%	0.71%	2.47%	0.47%	1.25%	0.00%	0.60%	0.55%	0.78%	0.69%	1.10%	1.43%	0.33%	0.68%	0.13%	0.74%	0.00%	0.82%	1.27%	1.48%	0.00%	0.00%	0.00%									
14	Грудинин Павел Николаевич	3705	8	17	64	45	23	24	9	19	83	109	67	33	7	8	3	2	17	13	45	9	14	30	52	5	6	42	85	77	83	39	60	142	227	43	49	14	54	51	31	5	1	12	24	0	16	29	144	147	161	103	100	45	51	11	53	8	98	64	33	34	39	77	60	9	38	51	68	90	16	15	31	1	13	1	18	8	115	69	81	4	13	5	27	0	2	6									
		7.73%	5.23%	4.62%	8.14%	5.92%	3.51%	4.40%	4.64%	3.51%	11.40%	10.64%	8.18%	6.38%	5.11%	3.10%	6.67%	1.90%	6.97%	5.37%	5.23%	5.08%	2.47%	8.90%	5.68%	4.31%	4.26%	8.40%	10.63%	11.90%	6.80%	5.90%	7.26%	7.70%	11.49%	7.82%	15.22%	6.54%	8.84%	10.56%	4.77%	3.03%	0.41%	5.43%	5.00%	0.00%	4.23%	4.31%	9.09%	7.62%	10.81%	6.63%	8.12%	10.16%	6.94%	3.35%	5.64%	1.78%	8.84%	7.94%	5.19%	14.05%	10.13%	11.29%	10.97%	9.00%	13.52%	7.86%	10.63%	11.29%	12.50%	9.04%	5.67%	0.78%	9.03%	1.10%	12.86%	2.64%	11.23%	8.95%	7.53%	4.76%	10.66%	6.33%	8.01%	0.00%	2.30%	4.44%									
15	Жириновский Владимир Вольфович	2103	15	23	36	26	23	14	11	30	34	55	45	17	5	7	6	2	13	19	31	2	9	13	37	7	10	10	37	28	60	35	27	75	92	21	16	12	17	21	19	5	8	13	16	1	19	21	78	84	68	97	39	24	14	2	22	12	48	43	27	13	26	40	22	9	19	37	35	40	4	2	38	2	7	2	2	11	49	37	52	4	3	2	21	12	1	12									
