Выборы Президента Российской Федерации																																																																																					
Дата голосования: 18.03.2018																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Кабанская																																																																																					
																																																																																					
Сводная таблица предварительных итогов голосования																																																																																					
																																																																																					
	Число участковых избирательных комиссий	74																																																																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	74																																																																																			
																																																																																					
		Сумма	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343									
1	"Число избирателей, включенных в список избирателей"	38660	220	231	74	81	270	492	201	108	429	499	396	381	246	94	77	124	330	120	143	105	110	914	701	295	1341	1280	1612	1392	1599	1374	1504	209	186	230	265	747	585	894	955	858	404	500	166	404	340	117	264	217	181	923	951	1037	1327	876	197	89	383	467	220	432	145	92	859	1206	1097	701	50	98	624	65	513	1056	937	50									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32496	220	250	75	70	250	460	190	116	370	450	350	370	240	100	80	120	310	120	140	100	90	760	600	300	1050	1050	1150	1050	1300	1050	1200	190	150	200	230	560	450	750	700	720	320	400	160	400	320	100	300	200	170	800	800	800	1120	650	180	80	300	370	220	420	140	90	750	920	900	700	50	95	500	60	470	930	800	50									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24575	164	168	64	59	192	306	135	91	271	357	215	339	185	74	58	85	230	87	120	96	63	559	398	139	786	844	846	802	990	752	809	139	117	168	203	445	383	556	542	555	269	295	113	307	257	89	225	163	131	568	611	625	779	539	130	68	209	269	144	350	117	62	613	810	742	493	41	71	413	40	339	648	608	45									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2135	27	16	5	6	24	51	17	12	71	36	26	28	41	15	14	31	38	22	17	3	10	19	23	8	43	22	70	50	38	19	57	8	3	23	7	30	39	38	65	33	13	23	22	30	23	3	14	14	27	66	44	66	32	44	17	3	38	40	38	36	13	10	26	52	52	95	4	11	43	10	41	37	43	0									
6	Число погашенных избирательных бюллетеней	5786	29	66	6	5	34	103	38	13	28	57	109	3	14	11	8	4	42	11	3	1	17	182	179	153	221	184	234	198	272	279	334	43	30	9	20	85	28	156	93	132	38	82	25	63	40	8	61	23	12	166	145	109	309	67	33	9	53	61	38	34	10	18	111	58	106	112	5	13	44	10	90	245	149	5									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2135	27	16	5	6	24	51	17	12	71	36	26	28	41	15	14	31	38	22	17	3	10	19	23	8	43	22	70	50	38	19	57	8	3	23	7	30	39	38	65	33	13	23	22	30	23	3	14	14	27	66	44	66	32	44	17	3	38	40	38	36	13	10	26	52	52	95	4	11	43	10	41	37	43	0									
8	Число бюллетеней в стационарных ящиках для голосования	24562	164	168	64	59	192	306	135	91	271	357	215	339	185	74	58	85	230	87	120	96	63	559	398	139	786	844	846	802	990	752	809	139	117	168	203	445	383	556	542	555	269	295	113	307	257	89	225	163	131	568	611	625	779	539	130	68	209	269	144	350	117	62	613	810	742	493	41	71	413	40	339	635	608	45									
9	Число недействительных избирательных бюллетеней	546	2	5	0	2	3	9	3	1	2	6	5	1	1	0	0	1	4	3	0	1	2	19	1	2	17	14	11	22	25	17	11	2	2	2	14	10	17	12	13	18	3	7	4	8	8	0	1	4	2	11	20	13	13	10	1	2	2	5	7	22	4	0	8	26	25	15	0	0	9	0	9	13	12	2									
10	Число действительных избирательных бюллетеней	26151	189	179	69	63	213	348	149	102	340	387	236	366	225	89	72	115	264	106	137	98	71	559	420	145	812	852	905	830	1003	754	855	145	118	189	196	465	405	582	594	570	279	311	131	329	272	92	238	173	156	623	635	678	798	573	146	69	245	304	175	364	126	72	631	836	769	573	45	82	447	50	371	659	639	43									
