Выборы Президента Российской Федерации																																																																																																															
Дата голосования: 18.03.2018																																																																																																															
																																																																																																															
Наименование Избирательной комиссии:    Братская городская																																																																																																															
																																																																																																															
Сводная таблица итогов голосования																																																																																																															
																																																																																																															
	Число участковых избирательных комиссий	100																																																																																																													
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	100																																																																																																													
																																																																																																															
		Сумма	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №1891	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906									
1	"Число избирателей, включенных в список избирателей"	172226	1618	1240	1526	1710	1663	1854	1635	1879	1809	1665	2101	1545	1645	1938	2043	1154	2356	2413	2159	2374	2165	1797	1580	2559	2489	1908	2195	2050	2234	1971	2080	1900	2075	2254	2237	1481	1579	2409	2546	2320	2038	1830	1766	2200	2183	2713	1702	1731	1780	1605	3481	2318	474	1113	1769	2560	1181	1289	742	781	1575	2437	2061	1483	1904	1941	1680	2002	2308	1477	1524	1344	2236	2576	1719	1971	1986	1517	1989	1861	2297	1663	920	1660	1289	825	705	796	736	2298	1814	2009	1200	1647	193	217	289	335	146	184									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	156490	1500	1400	2000	1500	1500	1500	1500	1500	1500	1500	2000	1500	1500	1500	2000	1300	2000	2000	2000	2000	2000	1500	1500	2500	2500	1500	2000	2000	2000	2000	2000	1500	2000	2000	2000	1300	1500	2000	2500	2000	2000	1500	1500	2000	2000	2500	1500	1500	1500	1500	2500	2000	500	1000	1500	2500	1000	1000	500	800	1500	2000	2000	1500	1500	1500	1500	2000	2000	1500	1400	1000	2000	2500	1500	2000	2000	1500	2000	1800	2000	1500	900	1500	1200	800	700	800	700	2000	1500	2000	1000	1500	150	272	300	338	150	180									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	90872	572	478	594	875	788	898	810	1003	919	792	1037	605	578	903	936	414	1300	1401	1187	1308	1204	871	817	1396	1351	994	1179	1105	1158	1236	1259	1120	1285	1403	1291	761	608	1392	1365	1362	944	942	1005	1274	1312	1520	1069	1041	1049	925	1827	1204	114	481	801	1285	612	650	361	379	885	1531	1058	873	1179	1167	1028	1278	1382	847	804	768	1208	1595	964	1145	1109	784	1010	1037	1046	816	427	707	506	344	243	389	317	1127	921	949	471	716	99	149	202	335	17	89									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4050	25	25	46	23	34	38	31	64	50	25	19	33	20	28	56	13	94	39	44	42	34	26	32	36	50	49	47	49	48	26	20	33	21	32	21	20	8	36	60	63	320	127	27	21	27	26	35	42	12	28	23	66	92	74	32	33	30	45	28	17	35	21	18	11	20	26	17	31	31	31	38	22	21	39	42	57	29	18	40	47	40	55	17	66	18	24	12	27	23	31	70	53	48	42	4	56	87	0	127	91									
6	Число погашенных избирательных бюллетеней	61568	903	897	1360	602	678	564	659	433	531	683	944	862	902	569	1008	873	606	560	769	650	762	603	651	1068	1099	457	774	846	794	738	721	347	694	565	688	519	884	572	1075	575	736	431	468	705	661	954	396	417	439	547	650	730	294	445	667	1182	358	305	111	404	580	448	924	616	301	307	455	691	587	622	558	210	771	866	494	798	862	698	950	716	914	629	456	727	676	432	445	384	360	842	509	998	481	742	47	67	11	3	6	0									
