Выборы Президента Российской Федерации																																																																																	
Дата голосования: 18.03.2018																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Крымская																																																																																	
																																																																																	
Сводная таблица итогов голосования																																																																																	
																																																																																	
	Число участковых избирательных комиссий	70																																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	70																																																																															
																																																																																	
		Сумма	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664	УИК №2665	УИК №2666	УИК №2667	УИК №2668	УИК №2669	УИК №2670									
1	"Число избирателей, включенных в список избирателей"	97373	2279	1704	2018	1228	1780	641	1957	1605	1665	2135	2117	2040	1873	1280	2312	2616	1944	1280	2725	1660	2990	1558	178	1707	2281	717	694	1120	239	705	237	2323	305	233	503	2114	2114	2309	2440	408	896	2414	1073	200	461	1833	507	1985	1428	1341	1518	1925	2828	439	281	634	343	500	731	641	2692	2568	1238	570	1693	840	846	209	1367	1338									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	97590	2350	1685	2015	1240	1765	630	1960	1625	1715	2145	2120	2020	1830	1225	2365	2630	1945	1280	2645	1715	2975	1555	173	1732	2295	715	680	1100	230	715	222	2308	298	228	512	2120	2170	2310	2505	410	892	2450	1075	202	467	1833	505	2010	1445	1360	1520	1955	2810	438	285	635	329	501	745	635	2750	2615	1245	575	1695	840	800	200	1300	1320									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	71595	1885	1053	972	613	1436	504	1554	1462	1491	1569	1838	1152	1462	687	1610	1432	1023	871	1585	1336	2297	1126	142	1353	1742	608	588	839	189	595	206	1870	273	202	460	1728	1866	1935	1986	356	808	2036	614	99	434	1546	239	1064	821	1027	1231	1238	2011	334	234	552	275	412	480	517	2140	2120	864	469	982	629	662	146	950	765									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	9181	154	106	138	56	94	78	151	79	90	59	136	140	147	29	182	87	64	107	131	117	67	245	31	218	356	93	90	128	41	100	16	284	25	22	28	110	70	141	162	33	48	161	230	38	16	154	165	158	220	201	270	470	607	93	41	72	50	78	213	101	268	161	200	95	232	56	135	52	102	89									
6	Число погашенных избирательных бюллетеней	16814	311	526	905	571	235	48	255	84	134	517	146	728	221	509	573	1111	858	302	929	262	611	184	0	161	197	14	2	133	0	20	0	154	0	4	24	282	234	234	357	21	36	253	231	65	17	133	101	788	404	132	19	247	192	11	10	11	4	11	52	17	342	334	181	11	481	155	3	2	248	466									
7	Число избирательных бюллетеней в переносных ящиках для голосования	9181	154	106	138	56	94	78	151	79	90	59	136	140	147	29	182	87	64	107	131	117	67	245	31	218	356	93	90	128	41	100	16	284	25	22	28	110	70	141	162	33	48	161	230	38	16	154	165	158	220	201	270	470	607	93	41	72	50	78	213	101	268	161	200	95	232	56	135	52	102	89									
8	Число бюллетеней в стационарных ящиках для голосования	71589	1885	1053	972	613	1436	504	1554	1462	1491	1569	1838	1152	1462	687	1610	1432	1023	871	1585	1336	2297	1126	142	1353	1742	608	588	839	189	595	206	1870	273	202	460	1728	1866	1935	1986	356	808	2036	614	99	434	1546	239	1064	821	1027	1231	1238	2011	334	234	552	275	412	480	517	2140	2120	864	469	982	629	662	146	944	765									
9	Число недействительных избирательных бюллетеней	446	11	5	12	8	0	1	10	5	18	14	5	23	7	7	8	16	17	5	17	7	40	0	0	3	4	4	3	22	4	7	13	1	0	0	0	8	0	21	0	0	2	3	10	2	2	7	3	11	15	7	3	3	4	0	0	8	5	0	2	1	0	0	0	0	10	13	0	0	0	9									
10	Число действительных избирательных бюллетеней	80324	2028	1154	1098	661	1530	581	1695	1536	1563	1614	1969	1269	1602	709	1784	1503	1070	973	1699	1446	2324	1371	173	1568	2094	697	675	945	226	688	209	2153	298	224	488	1830	1936	2055	2148	389	854	2194	834	135	448	1693	401	1211	1026	1221	1498	1705	2614	427	275	616	320	490	691	617	2408	2281	1064	564	1204	672	797	198	1046	845									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																	
13	Бабурин Сергей Николаевич	363	4	12	5	4	5	1	10	2	5	10	3	8	8	0	12	8	6	7	11	7	13	2	0	6	4	8	1	10	1	1	0	5	1	1	2	27	2	11	1	1	6	2	1	0	1	3	1	5	6	4	3	7	8	3	0	4	2	0	0	1	21	27	10	1	6	1	2	2	5	6									
